Date,Dividends
2014-03-11,0.060000
2013-12-12,0.060000
2013-09-12,0.060000
2013-06-12,0.055000
2013-03-13,0.055000
2012-12-13,0.055000
2012-09-13,0.055000
2012-06-07,0.100000
2011-12-23,0.100000
2011-06-09,0.100000
2010-12-22,0.100000
2010-06-10,0.100000
2009-12-22,0.100000
2009-06-11,0.100000
2008-12-17,0.100000
2008-06-12,0.100000
2008-02-20,0.050000
2007-12-19,0.100000
2007-06-14,0.100000
2006-12-20,0.075000
2006-06-15,0.075000
2005-12-21,0.075000
2005-06-16,0.075000
2004-12-21,0.113000
2004-06-10,0.056670
2003-12-15,0.128000
2003-06-12,0.051110
2002-12-16,0.173000
2002-06-13,0.047410
2001-12-17,0.047410
2001-06-14,0.047410
2000-12-15,0.044450
2000-06-15,0.044450
1999-12-16,0.044450
1999-06-11,0.130000
1998-12-17,0.130000
1998-06-12,0.130000
1997-12-15,0.180000
1997-06-12,0.180000
1996-12-12,0.180000
1996-06-13,0.180000
1995-12-14,0.000000
1995-06-15,0.180000
1994-12-12,0.180000
1994-06-14,0.160000
1993-12-13,0.160000
1993-06-15,0.140000
1992-12-14,0.000000
1992-06-16,0.116670
1991-12-09,0.000000
1991-06-04,0.106060
1990-12-10,0.106060
1990-06-05,0.000000
