Date,Dividends
2014-02-05,1.198000
2013-11-05,1.175000
2013-08-05,1.153000
2013-05-06,1.130000
2013-02-05,1.107000
2012-11-05,1.085000
2012-08-03,1.063000
2012-05-04,1.025000
2012-02-03,0.990000
2011-11-03,0.955000
2011-08-03,0.923000
2011-05-04,0.890000
2011-02-03,0.860000
2010-11-03,0.830000
2010-08-04,0.810000
2010-05-05,0.790000
2010-02-03,0.775000
2009-11-04,0.760000
2009-08-05,0.745000
2009-05-06,0.730000
2009-02-04,0.715000
2008-11-05,0.700000
2008-08-05,0.660000
2008-05-06,0.585000
2008-02-05,0.585000
2007-11-05,0.560000
2007-08-03,0.560000
2007-05-04,0.540000
2007-02-05,0.540000
2006-11-02,0.500000
2006-08-03,0.500000
2006-05-04,0.460000
2006-02-02,0.460000
2005-11-02,0.413000
2005-08-03,0.412500
2005-05-04,0.375000
2005-02-03,0.375000
2004-10-28,0.325000
2004-07-29,0.325000
2004-04-29,0.312500
2004-02-03,0.281500
2003-10-30,0.262500
2003-08-01,0.262500
2003-05-01,0.262500
2003-01-30,0.262500
2002-10-30,0.250000
2002-07-30,0.250000
2002-05-01,0.250000
2002-01-31,0.250000
2001-10-31,0.250000
2001-08-01,0.250000
2001-05-02,0.250000
2001-01-29,0.250000
2000-10-31,0.250000
2000-07-27,0.250000
2000-04-27,0.250000
2000-02-03,0.250000
1999-10-27,0.115000
