Date,Dividends
2012-12-20,0.080000
2012-09-19,0.020000
2012-06-20,0.020000
2012-03-21,0.020000
2011-12-28,0.020000
2011-09-21,0.020000
2011-06-22,0.020000
2011-03-23,0.020000
2010-12-28,0.020000
2010-09-22,0.020000
2010-06-23,0.020000
2010-03-24,0.020000
2009-12-29,0.020000
2009-09-23,0.020000
2009-06-24,0.020000
2009-03-25,0.020000
2008-12-24,0.020000
2008-09-24,0.040000
2008-06-25,0.040000
2008-03-26,0.040000
2008-02-07,0.040000
2007-09-26,0.040000
2007-06-27,0.040000
2007-03-28,0.040000
2006-12-27,0.040000
2006-09-27,0.440000
2006-06-28,0.040000
2006-03-29,0.040000
2005-12-28,0.040000
2005-09-28,0.035000
2005-06-28,0.035000
2005-03-29,0.035000
2004-12-28,0.035000
2004-09-28,0.035000
2004-06-28,0.030000
2004-03-29,0.030000
2003-12-29,0.025000
2003-09-26,0.025000
