Date,Dividends
2014-01-30,0.160000
2013-10-30,0.160000
2013-07-30,0.160000
2013-04-29,0.160000
2013-01-30,0.150000
2012-10-31,0.150000
2012-07-30,0.150000
2012-04-27,0.150000
2012-01-30,0.130000
2011-10-28,0.130000
2011-07-28,0.130000
2011-04-28,0.130000
2011-01-28,0.110000
2010-10-28,0.110000
2010-07-29,0.110000
2010-04-29,0.110000
2010-01-28,0.100000
2009-10-29,0.100000
2009-07-30,0.100000
2009-04-29,0.100000
2009-01-29,0.280000
2008-10-30,0.280000
2008-07-30,0.280000
2008-04-29,0.280000
2008-01-30,0.270000
2007-10-30,0.270000
2007-07-30,0.270000
2007-04-27,0.270000
2007-01-30,0.260000
2006-10-30,0.260000
2006-07-28,0.260000
2006-04-27,0.260000
2006-01-30,0.250000
2005-10-28,0.250000
2005-07-28,0.250000
2005-04-28,0.250000
2005-01-28,0.163330
2004-10-28,0.163330
2004-09-14,0.163330
2004-04-29,0.153330
2004-01-29,0.153330
2003-10-30,0.153330
2003-09-12,0.153330
2003-07-30,0.153330
2003-05-21,0.146670
2003-01-30,0.146670
2002-10-30,0.146670
2002-07-30,0.146670
2002-06-13,0.146670
2001-09-21,0.140000
2001-06-14,0.140000
2001-03-15,0.133330
2000-12-29,0.133330
