Date,Dividends
2014-03-12,0.120000
2013-12-18,0.120000
2013-09-12,0.120000
2013-06-13,0.120000
2013-03-14,0.120000
2012-12-12,0.120000
2012-09-12,0.120000
2012-06-13,0.120000
2012-03-08,0.120000
2011-12-14,0.120000
2011-09-07,0.115000
2011-06-08,0.110000
2011-03-09,0.105000
2010-12-08,0.100000
2010-09-08,0.050000
2010-06-09,0.050000
2010-03-10,0.050000
2009-12-09,0.050000
2009-09-09,0.050000
2009-06-10,0.050000
2009-03-11,0.100000
2008-12-10,0.185000
2008-09-10,0.185000
2008-06-11,0.185000
2008-03-12,0.185000
2007-12-12,0.185000
2007-09-12,0.185000
2007-06-13,0.185000
2007-03-13,0.180000
2006-12-13,0.170000
2006-09-06,0.160000
2006-06-07,0.155000
2006-03-14,0.145000
2005-12-01,0.140000
2005-09-07,0.135000
2005-06-08,0.130000
2005-03-09,0.125000
2004-12-01,0.120000
2004-09-08,0.110000
2004-06-02,0.075000
2004-03-10,0.090000
2003-12-03,0.080000
2003-09-10,0.070000
2003-06-04,0.060000
2003-03-12,0.050000
