Date,Dividends
2014-01-08,0.180000
2013-10-09,0.170000
2013-07-10,0.170000
2013-04-03,0.170000
2013-01-09,0.170000
2012-09-05,0.320000
2012-03-07,0.300000
2011-09-07,0.280000
2011-03-09,0.280000
2010-09-08,0.280000
2010-03-10,0.280000
2009-09-09,0.280000
2009-03-11,0.280000
2008-09-03,0.280000
2008-03-05,0.260000
2007-09-05,0.240000
2007-02-28,0.220000
2006-09-06,0.200000
2006-03-01,0.180000
2005-09-07,0.160000
2005-03-02,0.140000
2004-09-08,0.120000
2004-03-03,0.110000
2003-09-10,0.090000
2003-03-05,0.080000
2002-09-11,0.070000
2002-02-27,0.060000
2001-09-05,0.050000
2001-02-28,0.050000
2000-09-06,0.040000
1999-03-03,0.033330
