Date,Dividends
2014-02-06,0.180000
2013-11-04,0.180000
2013-08-02,0.170000
2013-05-03,0.170000
2013-02-01,0.170000
2012-11-02,0.160000
2012-08-03,0.160000
2012-05-10,0.160000
2012-02-09,0.160000
2011-11-04,0.150000
2011-08-05,0.150000
2011-05-06,0.150000
2011-02-10,0.150000
2010-11-16,0.140000
2010-07-29,0.140000
2010-05-06,0.140000
2010-02-04,0.140000
2009-11-06,0.140000
2009-08-12,0.140000
2009-05-05,0.140000
2009-02-05,0.140000
2008-11-06,0.140000
2008-08-04,0.140000
2008-05-02,0.130000
2008-02-07,0.130000
2007-11-01,0.130000
2007-08-02,0.130000
2007-05-03,0.120000
2007-02-01,0.120000
2006-11-02,0.120000
2006-08-03,0.120000
2006-05-03,0.110000
2006-02-02,0.110000
2005-10-27,0.110000
2005-07-28,0.110000
2005-04-27,0.100000
2005-01-27,0.100000
2004-10-28,0.100000
2004-07-29,0.100000
2004-04-28,0.100000
2004-01-28,0.100000
2003-10-29,0.100000
2003-07-31,0.100000
2003-04-28,0.100000
2003-01-29,0.100000
2002-10-29,0.095000
2002-07-29,0.095000
2002-04-26,0.095000
2002-01-30,0.095000
2001-10-25,0.090000
2001-07-27,0.090000
2001-04-26,0.090000
2001-01-30,0.090000
2000-11-01,0.085000
2000-08-02,0.085000
2000-04-27,0.085000
2000-01-28,0.085000
1999-10-28,0.075000
1999-07-29,0.075000
1999-04-29,0.075000
1999-01-28,0.075000
1998-10-29,0.060000
1998-07-30,0.057500
1998-04-29,0.057500
1998-01-29,0.057500
1997-11-05,0.045000
1997-07-30,0.045000
1997-04-30,0.045000
1997-01-30,0.045000
1996-10-30,0.037500
1996-07-31,0.150000
1996-05-01,0.150000
1996-04-02,0.320000
1996-01-31,0.150000
1995-11-01,0.031250
1995-08-02,0.031250
1995-05-01,0.031250
1995-01-30,0.031250
1994-10-31,0.200000
1994-08-01,0.018750
1994-05-02,0.018750
1994-01-31,0.018750
1993-11-01,0.100000
1993-08-02,0.100000
1993-05-03,0.100000
1993-02-01,0.100000
1991-06-28,0.018750
1991-04-01,0.018750
1990-12-28,0.150000
1990-10-01,0.047500
1990-06-29,0.047500
1990-04-02,0.047500
