Date,Dividends
2014-02-12,0.085000
2013-11-06,0.085000
2013-08-07,0.085000
2013-05-08,0.085000
2013-02-11,0.085000
2012-08-08,0.085000
2012-05-09,0.085000
2012-02-08,0.085000
2011-11-02,0.085000
2011-07-28,0.085000
2011-04-27,0.085000
2011-01-27,0.085000
2010-10-27,0.085000
2010-07-28,0.085000
2010-04-28,0.085000
2010-01-28,0.085000
2009-10-28,0.085000
2009-07-29,0.085000
2009-04-28,0.085000
2009-02-03,0.285000
2008-10-29,0.085000
2008-07-29,0.285000
2008-04-28,0.085000
2008-01-30,0.285000
2007-10-29,0.085000
2007-07-27,0.285000
2007-04-26,0.085000
2007-01-31,0.285000
2006-10-27,0.085000
2006-07-27,0.285000
2006-04-26,0.085000
2006-01-27,0.285000
2005-10-27,0.085000
2005-07-27,0.285000
2005-04-27,0.085000
2005-01-27,0.285000
2004-10-27,0.085000
2004-07-28,0.285000
2004-04-28,0.085000
2004-01-28,0.285000
2003-10-29,0.085000
2003-07-29,0.285000
2003-04-28,0.085000
2003-01-29,0.085000
2002-10-29,0.085000
2002-07-29,0.085000
2002-04-26,0.073160
2002-01-29,0.073160
2001-10-29,0.073160
2001-07-27,0.073160
2001-04-26,0.032010
2001-01-29,0.032010
2000-10-27,0.027430
2000-07-27,0.027430
2000-04-27,0.027430
2000-01-27,0.027430
1999-10-27,0.027430
1999-07-28,0.022860
1999-04-28,0.022860
