Date,Dividends
2014-03-03,0.200000
2013-12-03,0.200000
2013-09-03,0.180000
2013-05-31,0.180000
2013-03-01,0.180000
2012-12-03,0.164000
2012-08-31,0.154550
2012-06-01,0.154550
2012-03-01,0.154550
2011-12-01,0.154550
2011-08-31,0.145450
2011-06-01,0.145450
2011-03-02,0.145450
2010-12-01,0.145450
2010-09-01,0.127270
2010-06-02,0.127270
2010-03-03,0.127270
2009-12-02,0.127270
2009-09-02,0.118180
2009-06-03,0.118180
2009-03-03,0.118180
2008-12-03,0.118180
2008-09-03,0.109090
2008-06-03,0.109090
2008-03-03,0.109090
2007-11-29,0.099090
2007-08-31,0.099170
2007-06-01,0.099170
2007-03-01,0.099170
2006-12-01,0.099170
2006-08-30,0.088150
2006-06-01,0.088150
2006-03-01,0.088150
2005-12-01,0.088150
2005-08-31,0.077140
2005-06-01,0.077140
2005-03-02,0.077140
2004-12-01,0.077140
2004-09-01,0.077140
2004-06-03,0.077140
2004-03-03,0.077140
2003-12-03,0.070130
2003-09-03,0.070130
2003-06-03,0.070130
2003-03-03,0.070130
2002-12-03,0.070130
2002-09-03,0.063600
2002-06-03,0.063600
2002-03-01,0.063600
2001-12-03,0.063600
2001-08-31,0.063600
2001-06-01,0.063600
2001-03-01,0.063600
2000-12-01,0.063600
2000-08-31,0.063600
2000-06-01,0.063600
2000-03-01,0.063600
1999-12-01,0.060420
1999-09-01,0.057250
1999-06-02,0.057250
1999-03-03,0.057250
1998-12-02,0.057250
1998-09-02,0.057250
1998-06-03,0.057250
1998-03-03,0.057250
1997-12-03,0.041340
1997-09-03,0.041340
1997-06-03,0.041340
1997-03-03,0.041340
1996-12-03,0.039750
1996-09-03,0.009230
