Date,Dividends
2014-01-15,0.750000
2013-10-16,0.750000
2013-07-17,0.750000
2013-04-17,0.500000
2013-01-16,0.500000
2012-10-17,0.500000
2012-07-18,0.400000
2012-04-18,0.250000
2012-01-18,0.250000
2011-10-19,0.250000
2011-07-13,0.220000
2011-04-13,0.220000
2011-01-19,0.220000
2010-10-13,0.220000
2010-07-14,0.200000
2010-04-14,0.200000
2010-01-13,0.200000
2009-10-14,0.200000
2009-07-15,0.200000
2009-04-15,0.200000
2009-01-14,0.200000
2008-10-15,0.200000
2008-07-16,0.180000
2008-04-16,0.180000
2008-01-16,0.180000
2007-10-17,0.180000
2007-07-18,0.140000
2007-04-18,0.140000
2007-01-18,0.140000
2006-10-18,0.140000
2006-07-12,0.130000
2006-04-11,0.130000
2006-01-11,0.130000
2005-10-12,0.130000
2005-07-13,0.120000
2005-04-13,0.120000
2005-01-12,0.120000
2004-10-06,0.120000
2004-08-05,0.110000
2004-04-14,0.110000
2004-01-14,0.110000
2003-10-15,0.110000
2002-12-11,0.020000
2001-12-12,0.020000
2000-12-13,0.020000
1999-12-15,0.005000
1999-09-09,0.005000
1999-06-09,0.005000
1999-03-10,0.005000
1998-12-16,0.005000
1998-09-09,0.005000
1998-06-10,0.005000
1998-03-11,0.005000
1997-12-17,0.005000
1997-09-10,0.005000
1997-06-11,0.005000
1997-03-12,0.005000
1996-12-11,0.005000
1996-09-11,0.005000
1996-06-12,0.005000
1996-03-13,0.005000
1995-12-13,0.005000
1995-09-13,0.005000
1995-06-14,0.005000
1995-03-13,0.005000
1994-12-12,0.005000
1994-09-06,0.005000
1994-06-06,0.005000
1994-03-07,0.005000
1993-12-02,0.005000
1993-09-07,0.005000
1993-06-07,0.005000
1993-03-08,0.004670
1992-12-08,0.004670
1992-09-04,0.004670
1992-06-08,0.004670
1992-03-09,0.003110
1991-12-09,0.004450
1991-09-09,0.004450
1991-06-10,0.004450
1991-03-08,0.003550
1990-12-10,0.003550
1990-06-08,0.003550
1990-03-02,0.003550
