Date,Dividends
2013-11-27,0.100000
2013-08-28,0.100000
2013-05-29,0.100000
2013-02-27,0.100000
2012-11-28,0.100000
2012-08-29,0.200000
2012-05-30,0.200000
2012-02-28,0.200000
2011-11-29,0.200000
2011-08-30,0.200000
2011-05-27,0.200000
2011-02-25,0.200000
2010-11-29,0.380000
2010-08-30,0.380000
2010-05-27,0.380000
2010-02-25,0.380000
2009-11-27,0.500000
2009-08-31,0.500000
2009-05-29,0.500000
2009-02-26,0.500000
2008-11-28,0.500000
2008-08-28,0.500000
2008-05-28,0.750000
2008-02-27,0.750000
2007-11-28,0.750000
2007-08-29,0.750000
2007-05-30,0.750000
2007-02-27,0.750000
2006-11-29,0.600000
2006-08-30,0.600000
2006-05-30,0.600000
2006-02-27,0.600000
2005-11-29,0.600000
2005-08-30,0.550000
2005-05-27,0.500000
2005-02-25,0.500000
2004-11-29,0.500000
2004-08-30,0.420000
2004-05-27,0.420000
2004-05-10,0.500000
2004-02-26,0.375000
2003-11-26,0.375000
1999-04-28,0.250000
1999-01-13,0.250000
1998-10-16,0.250000
1998-07-13,0.200000
1998-04-15,0.200000
1998-01-16,5.500000
1997-08-13,0.200000
1997-05-12,0.200000
1997-02-21,0.150000
