Date,Dividends
2014-01-15,0.075000
2013-10-15,0.075000
2013-07-10,0.075000
2013-04-10,0.055000
2013-01-11,0.055000
2012-10-15,0.055000
2012-07-11,0.055000
2012-04-11,0.030000
2012-01-11,0.030000
2011-10-11,0.030000
2011-07-12,0.030000
2011-04-12,0.030000
2011-01-11,0.030000
2010-10-13,0.030000
2010-07-13,0.030000
2010-04-13,0.030000
2010-01-12,0.030000
2009-10-14,0.030000
2009-07-14,0.030000
2009-04-14,0.090000
2009-01-13,0.090000
2008-10-14,0.090000
2008-07-15,0.090000
2008-04-15,0.090000
2008-01-16,0.090000
2007-10-16,0.090000
2007-07-16,0.090000
2007-04-16,0.085710
2007-01-12,0.085710
2006-10-16,0.085710
2006-07-14,0.085710
2006-04-13,0.085710
2006-01-17,0.085710
2005-10-17,0.085710
2005-07-14,0.085710
2005-04-14,0.081630
2005-01-13,0.081630
2004-10-14,0.081630
2004-07-15,0.081630
2004-04-14,0.081630
2003-12-16,0.081630
2003-10-15,0.081630
2003-07-16,0.081630
2003-04-15,0.077100
2002-12-16,0.077100
2002-10-16,0.077100
2002-07-16,0.077100
2002-04-16,0.064790
2001-12-14,0.064790
2001-10-16,0.064790
2001-07-16,0.064790
2001-04-16,0.061700
2000-12-14,0.061700
2000-10-16,0.061700
2000-07-14,0.061700
2000-04-14,0.061700
2000-01-13,0.061700
1999-10-14,0.061700
1999-07-14,0.058820
1999-04-14,0.058760
1998-12-16,0.058760
1998-11-02,0.058760
1998-07-15,0.051710
1998-04-15,0.049620
1997-12-18,0.049620
1997-07-16,0.049620
1997-05-14,0.049620
1997-04-16,0.049750
1997-01-15,0.018650
1996-10-16,0.018650
