Date,Dividends
2014-01-23,0.035000
2013-10-24,0.030000
2013-07-25,0.030000
2013-04-25,0.030000
2013-01-24,0.030000
2012-10-25,0.020000
2012-07-26,0.020000
2012-04-26,0.020000
2012-01-26,0.010000
2011-10-27,0.010000
2011-07-28,0.010000
2011-04-28,0.010000
2011-01-27,0.010000
2010-10-28,0.010000
2010-07-29,0.010000
2010-04-29,0.010000
2010-01-28,0.010000
2009-10-29,0.010000
2009-07-30,0.010000
2009-04-30,0.010000
2009-01-29,0.070000
2008-10-30,0.070000
2008-07-31,0.070000
2008-05-01,0.070000
2008-01-31,0.070000
2007-10-25,0.070000
2007-07-26,0.070000
2007-04-26,0.060000
2007-02-01,0.060000
2006-10-26,0.060000
2006-07-27,0.060000
2006-04-27,0.050000
2006-01-26,0.050000
2005-10-27,0.050000
2005-07-28,0.050000
2005-04-28,0.045000
2005-01-27,0.045000
2004-10-28,0.045000
2004-07-29,0.045000
2004-04-29,0.026670
2004-01-29,0.040000
2003-10-23,0.040000
2003-07-24,0.040000
2003-04-24,0.033330
2003-01-23,0.033330
2002-10-24,0.033330
2002-07-25,0.033330
2002-04-25,0.030000
2002-01-24,0.030000
2001-10-26,0.030000
2001-07-27,0.020000
2001-04-26,0.026670
2001-01-25,0.026670
2000-12-27,0.026670
2000-10-26,0.026670
2000-07-27,0.026670
2000-04-27,0.022220
2000-01-27,0.022220
1999-10-28,0.022220
