Date,Dividends
2014-02-12,0.310000
2013-11-13,0.310000
2013-08-07,0.310000
2013-05-15,0.310000
2013-02-06,0.275000
2012-12-06,7.000000
2012-11-14,0.275000
2012-08-08,0.275000
2012-05-23,0.275000
2012-02-08,0.240000
2011-11-08,0.240000
2011-08-03,0.240000
2011-05-11,0.240000
2011-02-09,0.205000
2010-10-27,0.205000
2010-08-04,0.205000
2010-05-05,0.205000
2010-02-10,0.180000
2009-10-21,0.180000
2009-08-12,0.180000
2009-05-13,0.180000
2009-02-11,0.160000
2008-11-12,0.160000
2008-08-06,0.160000
2008-05-14,0.160000
2008-02-13,0.145000
2007-11-28,0.145000
2007-07-25,0.145000
2007-04-25,0.145000
2007-02-12,0.130000
2006-11-15,0.130000
2006-07-28,0.130000
2006-05-08,0.130000
2006-02-07,0.115000
2005-11-16,0.115000
2005-08-03,0.115000
2005-05-04,0.115000
2005-02-04,0.100000
2004-11-03,0.100000
2004-07-21,0.100000
2004-05-06,0.100000
