Date,Dividends
2014-02-11,0.570000
2013-11-06,0.510000
2013-08-06,0.510000
2013-05-07,0.510000
2013-02-05,0.510000
2012-11-27,1.000000
2012-11-06,0.460000
2012-08-07,0.460000
2012-05-08,0.460000
2012-02-07,0.460000
2011-11-08,0.360000
2011-08-09,0.360000
2011-05-10,0.360000
2011-02-08,0.360000
2010-11-08,0.360000
2010-08-10,0.360000
2010-05-07,0.360000
2010-02-10,0.360000
2009-11-05,0.360000
2009-08-04,0.360000
2009-05-07,0.360000
2009-02-10,0.360000
2008-11-04,0.360000
2008-08-05,0.360000
2008-05-07,0.360000
2008-02-08,0.360000
2007-10-31,0.360000
2007-08-01,0.360000
2007-05-02,0.360000
2007-02-12,0.360000
2006-11-01,0.360000
2006-08-02,0.360000
2006-05-03,0.360000
2006-02-10,0.360000
2005-11-02,0.220000
2005-08-03,0.220000
2005-05-04,0.220000
2005-02-09,0.220000
2004-11-03,0.120000
2004-08-04,0.120000
2004-05-04,0.120000
2004-02-11,0.120000
2003-11-03,0.085000
2003-08-01,0.085000
2003-05-07,0.085000
