Date,Dividends
2013-11-13,0.100000
2013-05-15,0.100000
2013-03-13,0.687500
2012-11-13,0.100000
2012-05-22,4.397500
2012-05-15,0.100000
2011-11-10,0.100000
2011-05-13,0.100000
2010-11-10,0.100000
2010-05-12,0.100000
2009-11-12,0.100000
2009-05-13,0.100000
2008-12-17,0.540000
2008-11-12,0.100000
2008-09-22,0.075000
2008-05-13,0.100000
2007-11-13,0.100000
2007-05-11,0.050000
2006-11-13,0.100000
2006-05-11,0.050000
2005-11-10,0.100000
2005-05-12,0.050000
2004-11-10,0.100000
2004-05-12,0.050000
2003-11-12,0.100000
2003-05-13,0.050000
2002-11-13,0.100000
2002-05-13,0.050000
2001-11-13,0.100000
2001-05-11,0.050000
2000-11-14,0.100000
2000-05-11,0.050000
1999-11-10,0.100000
1999-05-12,0.050000
1998-11-18,0.100000
1998-05-13,0.050000
1997-11-18,0.100000
1997-05-13,0.050000
1996-11-13,0.100000
1996-05-14,0.050000
1995-11-13,0.100000
1995-07-13,0.000000
1995-05-09,0.050000
1994-11-10,0.100000
1994-05-10,0.050000
1993-11-08,0.100000
1993-05-10,0.050000
1992-11-10,0.100000
1992-05-11,0.050000
1991-11-08,0.100000
1991-05-09,0.050000
1990-11-08,0.075000
1990-05-09,0.050000
