Date,Dividends
2014-03-12,0.320000
2013-12-11,0.320000
2013-09-11,0.320000
2013-06-12,0.315000
2013-03-13,0.315000
2012-12-12,0.315000
2012-09-12,0.315000
2012-06-13,0.310000
2012-03-13,0.310000
2011-12-13,0.310000
2011-09-13,0.310000
2011-06-13,0.305000
2011-03-11,0.305000
2010-12-13,0.305000
2010-09-13,0.305000
2010-06-11,0.300000
2010-03-11,0.300000
2009-12-11,0.300000
2009-09-11,0.300000
2009-06-11,0.300000
2009-03-19,0.300000
2008-12-11,0.300000
2008-09-11,0.290000
2008-06-11,0.290000
2008-03-13,0.290000
2007-12-12,0.290000
2007-09-12,0.270000
2007-06-13,0.270000
2007-03-13,0.270000
2006-12-13,0.270000
2006-09-13,0.260000
2006-06-13,0.260000
2006-03-13,0.260000
2005-12-13,0.260000
2005-09-13,0.240000
2005-06-13,0.240000
2005-03-11,0.240000
2004-12-13,0.240000
2004-09-13,0.209090
2004-06-14,0.209090
2004-03-11,0.209090
2003-12-11,0.209090
2003-09-11,0.190080
2003-06-11,0.173550
2003-03-12,0.173550
2002-12-11,0.173550
2002-09-11,0.157770
2002-06-12,0.157770
2002-03-13,0.157770
2001-12-12,0.157770
2001-09-12,0.200000
2001-06-13,0.150260
2001-03-13,0.150260
2000-12-13,0.150260
2000-09-13,0.142750
2000-06-28,0.142750
2000-06-13,0.142750
2000-03-13,0.136600
1999-12-13,0.136600
1999-09-13,0.136600
1999-06-11,0.129770
1999-03-11,0.130390
1998-12-11,0.130390
1998-09-11,0.124180
1998-08-03,0.124180
1998-03-11,0.124180
1997-12-11,0.124180
1997-09-11,0.113010
1997-06-11,0.113010
1997-03-12,0.113010
1996-12-11,0.112890
1996-09-11,0.101610
1996-06-12,0.101610
1996-03-13,0.101610
1995-12-13,0.101610
1995-09-13,0.090320
1995-06-13,0.090320
1995-03-09,0.090320
1994-09-09,0.084670
1994-06-09,0.084670
1994-03-09,0.084670
1993-12-09,0.084670
1993-09-09,0.075250
1993-06-09,0.075250
