Date,Dividends
2014-01-24,0.120000
2013-10-18,0.114000
2013-07-19,0.114290
2013-04-19,0.104760
2013-01-17,0.104760
2012-10-19,0.100000
2012-07-20,0.099770
2012-04-20,0.081630
2012-01-20,0.081630
2011-10-21,0.081630
2011-07-22,0.081630
2011-04-21,0.081630
2011-01-21,0.072560
2010-10-22,0.072560
2010-07-23,0.072560
2010-04-23,0.054420
2010-01-29,0.027210
2009-10-27,0.027210
2009-07-28,0.027210
2009-04-24,0.072560
2009-01-23,0.108850
2008-10-24,0.108850
2008-07-18,0.108850
2008-04-18,0.120640
2008-01-17,0.120930
2007-10-19,0.164120
2007-07-20,0.116620
2007-04-20,0.105390
2007-01-19,0.111070
2006-10-20,0.106130
2006-07-21,0.101860
2006-04-21,0.101860
2006-01-20,0.097010
2005-10-21,0.097010
2005-07-22,0.093280
2005-01-21,0.088840
2004-10-22,0.088840
2004-07-23,0.088840
2004-04-23,0.088840
2004-01-23,0.084610
2003-10-24,0.081230
2003-07-18,0.081230
2003-04-17,0.081230
2003-01-24,0.077360
2002-10-18,0.077360
2002-07-19,0.077360
2002-04-19,0.077360
2002-01-17,0.073680
2001-10-19,0.073680
2001-07-20,0.073680
2001-04-20,0.073680
2001-01-19,0.070170
2000-10-20,0.070170
2000-07-21,0.070170
2000-05-05,0.060220
2000-04-20,0.061250
2000-01-21,0.061250
1999-10-22,0.061250
1999-07-23,0.061250
1999-04-23,0.058480
1999-01-22,0.055700
1998-10-23,0.055700
1998-07-24,0.055700
1998-04-24,0.050380
1998-01-23,0.050520
1997-10-24,0.050520
1997-07-18,0.050520
