Date,Dividends
2014-01-30,0.260000
2013-10-31,0.250000
2013-07-25,0.250000
2013-04-25,0.250000
2013-01-31,0.250000
2012-10-31,0.240000
2012-07-30,0.220000
2012-04-27,0.200000
2012-01-26,0.180000
2011-10-28,0.160000
2011-07-28,0.150000
2011-04-28,0.140000
2011-01-27,0.130000
2010-10-28,0.120000
2010-07-29,0.100000
2010-04-29,0.090000
2010-01-28,0.080000
2009-09-29,0.240000
2009-06-29,0.240000
2009-03-30,0.240000
2008-12-31,0.240000
2008-09-29,0.240000
2008-07-01,0.240000
2008-03-28,0.240000
2007-12-28,0.238000
2007-09-27,0.237620
2007-07-02,0.237620
2007-03-30,0.237620
2006-12-28,0.232670
2006-09-28,0.235270
2006-06-30,0.235270
2006-03-30,0.235270
2005-12-27,0.233310
2005-09-29,0.223240
2005-06-30,0.223240
2005-03-31,0.223240
2004-10-01,0.213520
2004-04-01,0.213520
2003-10-02,0.201800
2003-06-26,0.201800
2003-04-03,0.134530
2002-12-26,0.192200
2002-09-27,0.190300
2002-06-27,0.177610
2002-03-27,0.177610
2001-12-27,0.175850
2001-09-27,0.163290
2001-03-29,0.163290
2000-11-22,0.163290
1999-11-24,0.149230
