Date,Dividends
2013-11-22,0.300000
2013-08-23,0.300000
2013-05-17,0.300000
2013-04-05,0.300000
2012-11-16,0.300000
2012-08-24,0.300000
2012-05-24,0.300000
2012-03-30,0.300000
2011-11-25,0.720000
2011-08-26,0.360000
2011-05-20,0.360000
2011-03-25,0.360000
2010-11-26,0.360000
2010-08-27,0.360000
2010-05-21,0.360000
2010-03-29,0.360000
2009-11-27,0.360000
2009-08-26,0.360000
2009-05-29,0.300000
2009-03-20,0.800000
2008-12-08,0.220000
2008-08-22,0.200000
2008-05-30,0.200000
2008-03-28,0.180000
2007-11-23,0.170000
2007-08-24,0.160000
2007-05-24,0.160000
2007-03-28,0.160000
2006-11-24,0.150000
2006-08-25,0.150000
2006-06-02,0.150000
2006-03-27,0.140000
2005-11-25,0.140000
2005-09-01,0.130000
2005-06-03,0.130000
2005-04-01,0.130000
2004-11-26,0.130000
2004-09-08,1.800000
2004-06-09,0.110000
2003-12-16,0.100000
2003-08-22,0.100000
2002-11-29,0.090000
2002-08-26,0.080000
2002-05-31,0.080000
2002-04-26,0.080000
2001-06-01,0.080000
2001-04-30,0.080000
2000-12-07,0.080000
2000-06-23,0.080000
2000-05-12,0.080000
2000-04-28,0.090000
1999-12-03,0.090000
1999-06-25,0.060000
1999-04-16,0.050000
1998-12-24,0.050000
1998-08-31,0.050000
1998-07-01,0.050000
1998-04-15,0.050000
1997-12-18,0.050000
1997-09-03,0.050000
1997-06-26,0.050000
