Date,Dividends
2014-01-29,0.250000
2013-10-23,0.250000
2013-07-24,0.250000
2013-01-30,0.100000
2012-12-05,0.500000
2012-10-25,0.210000
2012-07-25,0.190000
2012-04-30,0.170000
2012-01-30,0.170000
2011-10-24,0.140000
2011-07-21,0.130000
2011-04-13,0.130000
2011-02-11,0.250000
2010-11-22,0.420000
2010-08-18,0.210000
2010-02-10,0.200000
2009-08-13,0.185000
2009-02-11,0.175000
2008-12-03,0.270000
2008-08-14,0.135000
2008-02-21,0.125000
2007-08-16,0.115000
2007-02-22,0.105000
2006-08-17,0.100000
2006-02-15,0.100000
2005-08-18,0.077500
2005-02-16,0.077500
2004-08-19,0.062500
2004-02-19,0.037500
2003-09-24,0.037500
2003-02-19,0.015000
2002-02-20,0.012500
2001-02-21,0.011250
2000-02-23,0.010000
1999-02-24,0.040000
1998-02-25,0.020000
1997-02-26,0.020000
1996-02-28,0.020000
1995-02-08,0.040000
1994-03-02,0.040000
1993-02-23,0.030000
1992-02-25,0.060000
1991-02-25,0.050000
