Date,Dividends
2014-03-07,0.060000
2013-12-11,0.060000
2013-09-06,0.060000
2013-06-07,0.060000
2013-03-08,0.060000
2012-11-20,0.010000
2012-08-22,0.010000
2012-05-23,0.010000
2012-02-22,0.060000
2011-11-22,0.010000
2011-08-24,0.010000
2011-05-25,0.010000
2011-02-23,0.010000
2010-11-23,0.010000
2010-08-25,0.010000
2010-05-26,0.010000
2010-02-17,0.050000
2009-11-24,0.100000
2009-08-26,0.100000
2009-05-20,0.100000
2009-03-04,0.100000
2008-11-19,0.225000
2008-08-20,0.225000
2008-05-21,0.225000
2008-02-20,0.225000
2007-11-20,0.225000
2007-08-22,0.225000
2007-05-23,0.225000
2007-02-21,0.225000
2006-11-20,0.214290
2006-08-23,0.214290
2006-05-24,0.214290
2006-02-22,0.209520
2005-11-21,0.199540
2005-08-24,0.199540
2005-05-25,0.199540
2005-02-23,0.190480
2004-11-22,0.181410
2004-08-25,0.181410
2004-05-26,0.181410
2004-02-25,0.172770
2003-12-16,0.000000
2003-11-24,0.164540
2003-08-27,0.164540
2003-05-28,0.164540
2003-02-26,0.156300
2002-11-25,0.148860
2002-08-28,0.148860
2002-05-30,0.148860
2002-02-27,0.141050
2001-11-29,0.134330
2001-08-29,0.134330
2001-05-30,0.134330
2001-02-27,0.126860
