Date,Dividends
2009-09-03,0.050000
2009-06-04,0.050000
2009-03-19,0.050000
2008-11-28,0.800000
2008-09-05,0.800000
2008-06-03,0.800000
2008-03-05,0.800000
2007-12-05,0.800000
2007-09-05,0.800000
2007-06-06,0.800000
2007-03-08,0.800000
2006-12-06,0.750000
2006-08-31,0.750000
2006-06-02,0.700000
2006-03-09,0.700000
2005-12-07,0.650000
2005-09-06,0.650000
2005-06-06,0.600000
2005-03-10,0.600000
2004-12-08,0.550000
2004-09-07,0.550000
2004-06-08,0.500000
2004-03-09,0.500000
2003-12-03,0.450000
2003-09-05,0.450000
2003-06-06,0.400000
2003-03-06,0.400000
2002-11-29,0.350000
2002-09-06,0.350000
2002-06-04,0.300000
2002-03-07,0.300000
2001-11-30,0.275000
2001-09-07,0.275000
2001-06-05,0.275000
2001-03-07,0.275000
2000-12-07,0.250000
2000-09-07,0.250000
2000-06-07,0.250000
2000-03-08,0.250000
1999-12-03,0.175000
1999-09-07,0.175000
1999-06-08,0.175000
1999-03-08,0.175000
1998-12-03,0.175000
1998-09-08,0.175000
1998-06-08,0.175000
1998-03-10,0.175000
1997-12-02,0.150000
1997-09-10,0.150000
1997-06-09,0.125000
