Date,Dividends
2014-03-11,0.190000
2013-12-10,0.190000
2013-09-10,0.190000
2013-06-11,0.180000
2013-03-12,0.180000
2012-12-13,0.160000
2012-09-10,0.140000
2012-06-11,0.140000
2012-03-12,0.130000
2011-12-12,0.130000
2011-09-14,0.120000
2011-06-15,0.120000
2011-03-03,0.100000
2010-12-09,0.100000
2010-09-09,0.100000
2010-06-10,0.100000
2010-03-11,0.100000
2009-12-11,0.100000
2009-09-14,0.100000
2009-06-11,0.100000
2009-03-12,0.100000
2008-12-11,0.100000
2008-09-11,0.150000
2008-06-12,0.150000
2008-03-13,0.140000
2007-12-13,0.130000
2007-09-12,0.120000
2007-06-13,0.110000
2007-03-14,0.100000
2006-12-13,0.090000
2006-09-13,0.090000
2006-06-13,0.080000
2006-03-13,0.080000
2005-12-15,0.080000
2005-09-15,0.080000
2005-06-16,0.080000
2005-03-16,0.160000
2004-12-16,0.160000
2004-09-23,0.160000
2004-06-17,0.160000
2004-03-18,0.160000
2003-12-15,0.160000
2003-09-15,0.160000
2003-06-13,0.160000
2003-03-10,0.160000
2002-12-16,0.160000
2002-09-12,0.150000
2002-06-17,0.140000
2002-03-14,0.130000
2001-12-12,0.130000
2001-06-13,0.120000
2001-03-14,0.110000
2000-12-13,0.110000
2000-09-13,0.110000
2000-06-14,0.100000
2000-03-15,0.100000
1999-12-15,0.080000
1999-09-15,0.080000
