Date,Dividends
2001-05-11,0.600000
2001-02-13,0.600000
2000-11-13,0.600000
2000-08-11,0.600000
2000-05-11,0.600000
2000-02-11,0.600000
1999-11-10,0.600000
1999-08-12,0.600000
1999-05-12,2.100000
1999-02-11,2.100000
1998-11-12,2.100000
1998-08-12,2.100000
1998-05-13,2.100000
1998-02-11,2.100000
1997-11-12,2.100000
1997-08-13,2.100000
1997-05-13,2.100000
1997-02-12,2.050000
1996-11-13,2.050000
1996-08-13,2.050000
1996-05-13,2.050000
1996-02-13,1.950000
1995-11-13,1.950000
1995-08-11,1.950000
1995-05-09,1.950000
1995-02-09,1.850000
1994-11-08,1.850000
1994-08-09,1.850000
1994-05-10,1.850000
1994-02-09,1.650000
1993-11-08,1.650000
1993-08-10,1.650000
1993-05-10,1.650000
1993-02-08,1.500000
1992-11-09,1.500000
1992-08-10,1.500000
1992-05-11,1.500000
1992-02-10,1.350000
1991-11-08,1.350000
1991-08-09,1.350000
1991-05-09,1.350000
1991-02-11,1.250000
1990-11-08,1.250000
1990-08-09,1.250000
1990-05-09,1.250000
1990-02-09,1.100000
