Date,Dividends
2014-03-03,0.270000
2013-12-02,0.270000
2013-09-10,0.270000
2013-05-29,0.195000
2013-03-06,0.390000
2012-12-04,0.195000
2012-09-18,0.195000
2012-06-01,0.195000
2012-04-11,6.000000
2012-03-05,0.130000
2011-11-29,0.130000
2011-09-20,0.130000
2011-05-18,0.095000
2011-03-04,0.095000
2010-11-30,0.095000
2010-09-14,0.095000
2010-06-01,0.075000
2010-03-02,0.075000
2009-12-08,0.075000
2009-09-15,0.075000
2009-06-02,0.070000
2009-03-03,0.070000
2008-12-09,0.070000
2008-09-16,0.070000
2008-06-03,0.050000
2008-03-04,0.050000
2007-12-11,0.050000
2007-09-18,0.050000
2007-05-29,0.040000
2007-03-13,0.040000
2006-12-12,0.040000
2006-09-19,0.040000
2006-06-13,0.018000
2006-03-21,0.018000
2005-12-06,0.018000
2005-09-20,0.018000
2005-06-13,0.018000
2005-03-22,0.018000
2004-12-07,0.018000
2004-09-27,0.018000
2004-06-16,0.018000
2004-03-16,0.018000
2003-12-02,0.018000
2003-09-23,0.018000
2003-06-17,0.018000
2003-03-18,0.018000
2002-12-03,0.018000
2002-09-24,0.018000
2002-06-18,0.018000
2002-03-19,0.018000
2001-12-04,0.018000
2001-09-25,0.018000
2001-06-19,0.018000
2001-03-20,0.018000
2000-12-05,0.018000
2000-09-12,0.018000
2000-05-30,0.018000
2000-03-21,0.018000
1999-12-07,0.018000
1999-09-14,0.018000
1999-06-01,0.018000
1999-03-23,0.018000
1998-12-04,0.018000
1998-09-15,0.018000
1998-06-02,0.018000
1998-03-17,0.018000
1997-12-09,0.018000
1997-09-16,0.018000
1997-06-03,0.018000
1997-03-11,0.018000
1996-12-10,0.018000
1996-09-18,0.018000
1996-06-04,0.018000
1996-03-13,0.018000
1995-12-12,0.018000
1995-09-20,0.018000
1995-06-02,0.018000
1995-03-15,0.018000
1994-11-29,0.018000
1994-09-16,0.018000
1994-06-02,0.018000
1994-03-11,0.017000
1993-12-06,0.018000
1993-09-17,0.016670
1993-06-07,0.016670
1993-03-09,0.016670
1992-12-08,0.016670
1992-09-10,0.016670
1992-06-08,0.016670
1992-03-09,0.016670
1991-12-09,0.016670
1991-09-10,0.016670
1991-06-10,0.016670
1991-03-11,0.016670
1990-12-10,0.016670
1990-09-11,0.016670
1990-06-11,0.016670
