Date,Dividends
2014-01-08,0.550000
2013-10-08,0.270000
2013-07-08,0.260000
2013-04-08,0.260000
2013-01-08,0.530000
2012-10-05,0.260000
2012-07-06,0.260000
2012-04-05,0.250000
2012-01-06,0.510000
2011-10-06,0.250000
2011-07-07,0.250000
2011-04-06,0.240000
2011-01-06,0.490000
2010-10-06,0.240000
2010-07-07,0.230000
2010-04-07,0.230000
2010-01-07,0.450000
2009-10-07,0.220000
2009-07-08,0.210000
2009-04-07,0.210000
2009-01-08,0.430000
2008-10-08,0.210000
2008-07-08,0.200000
2008-04-08,0.200000
2008-01-08,0.410000
2007-10-05,0.200000
2007-07-06,0.200000
2007-04-09,0.200000
2007-04-05,0.000000
2007-01-08,0.400000
2006-10-05,0.200000
2006-07-06,0.200000
2006-04-06,0.200000
2006-01-06,0.200000
2005-10-06,0.200000
2005-07-07,0.200000
2005-04-07,0.190000
2005-01-06,0.390000
2004-10-06,0.190000
2004-07-07,0.180000
2004-04-07,0.180000
2004-01-07,0.370000
2003-10-08,0.180000
2003-07-08,0.180000
2003-04-08,0.170000
2003-01-08,0.350000
2002-10-08,0.170000
2002-07-08,0.160000
2002-04-08,0.160000
2002-01-08,0.310000
2001-10-05,0.150000
2001-07-06,0.150000
2001-04-06,0.150000
2001-01-08,0.280000
2000-10-05,0.140000
2000-07-06,0.130000
2000-04-06,0.130000
2000-01-06,0.240000
1999-10-07,0.120000
1999-07-08,0.110000
1999-04-08,0.110000
1999-01-07,0.210000
1998-10-07,0.100000
1998-07-08,0.093330
1998-04-07,0.086670
1998-01-08,0.250000
1997-10-08,0.120000
1997-07-09,0.120000
1997-04-08,0.066670
1997-01-08,0.190000
1996-10-09,0.060000
1996-07-09,0.090000
1996-04-09,0.080000
1996-01-09,0.160000
1995-10-06,0.046670
1995-07-07,0.046670
1995-04-05,0.033330
1995-01-04,0.050000
1994-10-04,0.026670
1994-07-05,0.026670
1994-04-05,0.026670
