Date,Dividends
2014-02-28,0.060000
2013-11-29,0.060000
2013-08-29,0.060000
2013-06-05,0.060000
2013-03-01,0.060000
2012-12-11,0.180000
2012-08-30,0.060000
2012-06-01,0.055000
2012-03-02,0.055000
2011-12-09,0.055000
2011-09-01,0.055000
2011-06-03,0.055000
2011-03-04,0.055000
2010-11-26,0.055000
2010-09-02,0.055000
2010-06-04,0.055000
2010-02-26,0.055000
2009-11-27,0.055000
2009-08-26,0.055000
2009-05-27,0.055000
2009-02-25,0.055000
2008-11-25,0.055000
2008-08-27,0.055000
2008-05-28,0.055000
2008-02-25,0.055000
2007-11-28,0.048420
2007-08-29,0.048420
2007-05-30,0.048420
2007-02-27,0.048420
2006-11-29,0.048420
2006-08-30,0.048420
2006-05-30,0.048420
2006-03-08,0.048420
2005-11-29,0.044010
2005-08-30,0.044010
2005-07-25,0.044010
2005-05-31,0.044010
