Date,Dividends
2013-09-26,0.230000
2013-03-27,0.200000
2012-09-26,0.200000
2012-03-29,0.200000
2011-09-28,0.190000
2011-03-24,0.190000
2010-09-28,0.190000
2010-03-30,0.170000
2009-10-15,0.170000
2009-04-23,0.170000
2008-09-26,0.330000
2008-03-27,0.330000
2007-10-11,0.330000
2007-04-12,0.318180
2006-10-12,0.318180
2006-04-12,0.318180
2005-04-13,0.290910
2004-10-13,0.290910
2004-04-13,0.290910
2003-09-26,0.290910
2003-03-27,0.200150
2002-09-25,0.172220
2002-03-26,0.148950
2001-09-26,0.148950
2001-03-28,0.148950
2000-09-27,0.148950
2000-03-29,0.142990
1999-09-28,0.119150
1999-03-29,0.057190
1998-09-28,0.019070
1998-04-01,0.015250
