Date,Dividends
2013-09-12,0.160000
2013-06-12,0.160000
2013-03-13,0.160000
2012-12-12,0.160000
2012-09-12,0.160000
2012-06-13,0.160000
2012-03-20,0.160000
2011-12-13,0.150000
2011-09-14,0.150000
2011-06-20,0.150000
2011-03-18,0.150000
2010-12-15,0.150000
2010-09-15,0.150000
2010-06-17,0.150000
2010-03-18,0.140000
2009-12-11,0.140000
2009-09-11,0.140000
2009-06-11,0.140000
2009-03-13,0.120000
2008-12-11,0.120000
2008-09-12,0.120000
2008-06-12,0.120000
2008-03-13,0.120000
2007-12-14,0.120000
2007-09-12,0.120000
2007-06-20,0.100000
2007-03-14,0.100000
2006-12-14,0.100000
2006-09-14,0.090000
2006-06-14,0.090000
2006-03-15,0.080000
2005-12-14,0.080000
2005-09-15,0.070000
2005-06-15,0.070000
2005-03-16,0.070000
2004-12-15,0.060000
2004-09-15,0.050000
2004-06-15,0.040000
2004-03-17,0.040000
2003-12-12,0.040000
2003-09-17,0.040000
2003-06-16,0.040000
2003-03-14,0.040000
2002-12-18,0.040000
2001-06-20,0.100000
2001-03-20,0.100000
2000-12-14,0.100000
2000-09-14,0.100000
2000-06-19,0.100000
2000-03-15,0.100000
1999-12-15,0.100000
1999-09-15,0.100000
1999-06-16,0.100000
1999-03-17,0.100000
1998-12-16,0.100000
1998-09-16,0.100000
1998-06-17,0.100000
1998-03-18,0.090000
1997-12-17,0.090000
1997-09-17,0.090000
1997-06-18,0.090000
1997-03-19,0.080000
1996-12-18,0.080000
1996-09-18,0.080000
1996-06-14,0.080000
1996-03-14,0.070000
1995-12-20,0.070000
1995-09-20,0.070000
1995-06-14,0.070000
1995-03-13,0.060000
1994-12-19,0.060000
1994-09-19,0.060000
1994-06-13,0.060000
1994-03-14,0.050000
1993-12-17,0.050000
1993-09-16,0.050000
1993-06-14,0.050000
1993-03-15,0.045000
1992-12-15,0.045000
1992-09-17,0.045000
1992-06-15,0.045000
1992-03-16,0.040000
1991-12-16,0.040000
1991-09-16,0.040000
1991-03-18,0.035000
1990-12-17,0.030000
1990-09-17,0.030000
