Date,Dividends
2014-03-12,0.320000
2013-12-18,0.320000
2013-09-12,0.160000
2013-06-11,0.160000
2013-03-07,0.160000
2012-12-07,0.160000
2012-09-12,0.130000
2012-06-13,0.130000
2012-03-13,0.130000
2011-12-13,0.130000
2011-09-13,0.118000
2011-06-13,0.118000
2011-03-11,0.118000
2010-12-13,0.117000
2010-09-13,0.108000
2010-06-11,0.108000
2010-03-11,0.108000
2009-12-11,0.108000
2009-09-11,0.098000
2009-06-15,0.098000
2009-03-12,0.098000
2008-12-11,0.098000
2008-09-11,0.093000
2008-06-12,0.093000
2008-03-13,0.093000
2007-12-12,0.093000
2007-09-13,0.085000
2007-06-13,0.085000
2007-03-13,0.085000
2006-12-13,0.085000
2006-09-13,0.075000
2006-06-13,0.075000
2006-03-13,0.075000
2005-12-13,0.037500
2005-09-13,0.062500
2005-06-13,0.062500
2005-03-11,0.062500
2004-12-13,0.062500
