Date,Dividends
2013-12-20,0.050000
2013-09-23,0.050000
2013-06-21,0.050000
2013-03-21,0.050000
2012-12-20,0.050000
2012-09-21,0.050000
2012-06-21,0.050000
2012-03-21,0.050000
2011-12-21,0.050000
2011-09-21,0.050000
2011-06-22,0.050000
2011-03-23,0.050000
2010-12-21,0.050000
2010-09-22,0.050000
2010-06-23,0.050000
2010-03-23,0.050000
2009-12-22,0.050000
2009-09-23,0.050000
2009-06-23,0.050000
2009-03-23,0.050000
2008-12-22,0.160000
2008-09-23,0.160000
2008-06-23,0.160000
2008-03-20,0.160000
2007-12-20,0.160000
2007-09-21,0.160000
2007-06-21,0.160000
2007-03-21,0.160000
2006-12-20,0.160000
2006-09-21,0.160000
2006-06-21,0.160000
2006-03-22,0.160000
2005-12-21,0.160000
2005-09-21,0.160000
2005-06-22,0.160000
2005-03-22,0.160000
2004-12-21,0.160000
2004-09-22,0.160000
2004-06-23,0.160000
2004-03-23,0.160000
2003-12-22,0.160000
2003-09-23,0.160000
2003-06-23,0.160000
2003-03-21,0.160000
2002-12-20,0.160000
2002-09-23,0.160000
2002-06-21,0.160000
2002-03-21,0.160000
2001-12-20,0.160000
2001-09-21,0.160000
2001-06-21,0.160000
2001-03-21,0.160000
2000-12-21,0.160000
2000-09-21,0.160000
2000-06-21,0.160000
2000-03-22,0.160000
1999-12-21,0.160000
1999-09-22,0.160000
1999-06-23,0.160000
1999-03-23,0.160000
1998-12-22,0.160000
1998-09-23,0.160000
1998-06-23,0.160000
1998-03-23,0.150000
1997-12-23,0.150000
1997-09-23,0.145000
1997-06-23,0.145000
1997-03-21,0.130000
1996-12-23,0.130000
1996-09-23,0.130000
1996-06-21,0.130000
1996-03-21,0.115000
1995-12-21,0.115000
1995-09-21,0.115000
1995-06-21,0.115000
1995-03-20,0.105000
1994-12-19,0.105000
1994-09-19,0.105000
1994-06-20,0.105000
1994-03-21,0.105000
1993-12-17,0.105000
1993-09-20,0.105000
1993-06-21,0.105000
1993-03-19,0.095000
1992-12-17,0.095000
1992-09-21,0.095000
1992-06-19,0.095000
1992-03-19,0.085000
1991-12-19,0.085000
1991-09-19,0.085000
1991-06-19,0.085000
1991-03-19,0.085000
1990-12-18,0.085000
1990-09-19,0.075000
1990-06-19,0.075000
