Date,Dividends
2013-12-24,0.250000
2013-10-04,0.250000
2013-07-02,0.280000
2013-04-03,0.280000
2012-12-26,0.280000
2012-10-05,0.240000
2012-07-03,0.240000
2012-04-03,0.180000
2011-12-21,0.180000
2011-10-05,0.180000
2011-07-06,0.170000
2011-04-06,0.170000
2010-12-21,0.170000
2010-10-06,0.170000
2010-07-02,0.170000
2010-04-05,0.170000
2009-12-23,0.200000
2009-10-07,0.240000
2009-07-07,0.240000
2009-04-06,0.240000
2008-12-29,0.270000
2008-10-07,0.350000
2008-07-07,0.410000
2008-04-04,0.410000
2008-04-01,0.015000
2007-12-20,0.390000
2007-10-05,0.370000
2007-07-05,0.350000
2007-04-03,0.290000
