Date,Dividends
2012-06-29,0.120000
2012-03-30,0.120000
2011-12-29,0.120000
2011-09-23,0.120000
2011-06-30,0.120000
2011-04-01,0.120000
2010-12-31,0.120000
2010-09-24,0.080000
2010-05-27,0.060000
2010-04-01,0.060000
2009-12-31,0.060000
2009-09-25,0.060000
2009-07-06,0.030000
2009-04-03,0.030000
2009-01-02,0.200000
2008-09-26,0.200000
2008-06-27,0.200000
2008-04-04,0.200000
2008-01-04,0.200000
2007-09-28,0.200000
2007-06-29,0.200000
2007-03-30,0.200000
2007-01-03,0.200000
2006-09-29,0.200000
2006-06-29,0.200000
2006-03-31,0.200000
2005-12-29,0.200000
2005-09-30,0.200000
2005-06-30,0.200000
2005-04-01,0.200000
2004-12-31,0.180000
2004-10-01,0.180000
2004-07-01,0.180000
2004-04-01,0.180000
2003-12-31,0.180000
2003-10-01,0.160000
2003-07-01,0.160000
2003-04-02,0.160000
2002-12-31,0.160000
2002-10-02,0.160000
2002-07-01,0.160000
2002-04-03,0.160000
2001-12-31,0.160000
2001-10-02,0.160000
2001-06-29,0.160000
2001-04-03,0.160000
2001-01-03,0.150000
2000-09-28,0.150000
2000-06-29,0.150000
2000-04-03,0.150000
2000-01-03,0.150000
1999-09-29,0.140000
1999-06-30,0.140000
1999-03-31,0.140000
1998-12-31,0.140000
1998-09-29,0.140000
1998-06-30,0.140000
1998-04-01,0.140000
1997-12-30,0.140000
1997-09-26,0.140000
1997-07-01,0.130000
1997-04-02,0.130000
1996-12-31,0.130000
1996-09-26,0.130000
1996-07-02,0.130000
1996-04-02,0.130000
1995-12-29,0.130000
1995-09-27,0.130000
1995-09-18,0.130000
1995-06-30,0.130000
1995-03-30,0.120000
1994-12-27,0.120000
1994-09-26,0.120000
1994-03-29,0.120000
1993-12-29,0.120000
1993-09-24,0.120000
1993-06-28,0.100000
1993-03-30,0.100000
1992-12-28,0.100000
1992-09-23,0.100000
1992-06-26,0.100000
1992-03-30,0.100000
1991-12-27,0.100000
1991-09-23,0.100000
1991-06-28,0.100000
1991-04-01,0.100000
1990-12-28,0.100000
1990-09-21,0.090000
1990-06-28,0.090000
1990-03-28,0.090000
