Date,Dividends
2014-02-13,0.060000
2013-12-24,0.350000
2012-12-13,0.500000
2012-11-08,0.060000
2012-08-09,0.060000
2012-05-08,0.055000
2012-02-15,0.055000
2011-11-04,0.055000
2011-08-04,0.055000
2011-05-03,0.050000
2011-02-10,0.050000
2010-10-28,0.050000
2010-08-05,0.050000
2010-05-04,0.045000
2010-02-03,0.045000
2009-10-29,0.045000
2009-08-06,0.045000
2009-05-05,0.040000
2009-02-04,0.040000
2008-10-30,0.040000
2008-08-07,0.040000
2008-05-07,0.038000
2008-02-06,0.038000
2007-11-07,0.038000
2007-08-08,0.038000
2007-05-08,0.030000
2007-02-09,0.030000
2006-11-08,0.030000
2006-08-08,0.030000
2006-05-08,0.025000
2006-02-10,0.025000
2005-11-08,0.025000
2005-08-15,0.025000
