Date,Dividends
2014-02-03,0.050000
2013-12-26,0.100000
2013-11-04,0.050000
2013-08-05,0.050000
2013-05-06,0.050000
2012-12-20,0.050000
2012-11-05,0.050000
2012-08-06,0.050000
2012-05-07,0.050000
2012-02-06,0.050000
2011-11-07,0.050000
2011-08-08,0.050000
2011-05-09,0.050000
2011-02-07,0.050000
2009-08-03,0.160000
2009-05-04,0.160000
2009-02-09,0.200000
2008-11-03,0.200000
2008-08-04,0.200000
2008-05-05,0.200000
2008-02-04,0.200000
2007-11-05,0.200000
2007-08-06,0.200000
2007-05-07,5.200000
2007-02-05,0.190480
2006-11-06,0.190480
2006-08-07,0.190480
2006-05-08,0.190480
2006-02-06,0.190480
2005-11-07,0.181410
2005-08-08,0.181410
2005-05-09,0.181410
2005-02-07,0.181410
2004-11-08,0.181410
2004-08-09,0.181410
2004-05-10,0.181410
2004-02-09,1.088440
2003-11-03,0.181410
2003-08-04,0.181410
2003-05-05,0.181410
2003-02-03,0.172770
2002-11-04,0.172770
2002-08-05,0.172770
2002-05-06,0.172770
2002-02-04,0.172770
2001-11-05,0.172770
2001-08-06,0.172770
2001-05-07,0.172770
2001-02-05,0.172770
2000-11-06,0.172770
2000-08-07,0.172770
2000-05-08,0.172770
2000-02-07,0.172770
1999-11-08,0.172770
1999-08-09,0.164540
1999-05-10,0.164540
1999-02-08,1.390370
1998-08-03,0.148860
1998-05-04,0.148860
1998-02-09,0.148860
