Date,Dividends
2001-06-13,0.010000
2000-12-06,0.010000
2000-06-07,0.010000
1999-12-08,0.003330
1999-06-09,0.003330
1998-12-09,0.003330
1998-06-10,0.003330
1997-12-10,0.003330
1997-06-10,0.003330
1996-12-11,0.003330
1996-06-26,0.003330
1995-12-13,0.003330
1995-06-21,0.003330
1994-12-12,0.003330
1994-06-20,0.003330
1993-12-13,0.003330
1993-06-14,0.003330
1992-12-14,0.003330
1992-09-09,0.013330
1992-06-12,0.013330
1992-03-09,0.013330
1991-12-09,0.013330
1991-09-09,0.013330
1991-06-07,0.013330
1991-03-07,0.013330
1990-11-26,0.013330
1990-08-27,0.013330
