Date,Dividends
2014-01-29,0.100000
2013-10-30,0.100000
2013-07-31,0.100000
2013-05-01,0.100000
2012-12-11,0.100000
2012-10-31,0.100000
2012-08-01,0.090000
2012-05-02,0.070000
2012-02-01,0.050000
2011-11-02,0.040000
2011-08-03,0.030000
2011-05-04,0.010000
2011-02-02,0.010000
2010-11-03,0.010000
2010-08-04,0.010000
2010-05-05,0.010000
2010-02-03,0.010000
2009-11-04,0.010000
2009-07-29,0.050000
2009-04-29,0.050000
2009-02-04,0.170000
2008-10-29,0.173000
2008-07-30,0.170000
2008-04-30,0.170000
2008-01-28,0.170000
2007-10-31,0.170000
2007-08-01,0.163110
2007-05-02,0.163110
2007-01-31,0.163110
2006-11-01,0.163110
2006-08-02,0.155520
2006-05-03,0.155520
2006-02-01,0.155520
2005-11-02,0.155520
2005-08-03,0.150820
2005-05-04,0.150820
2005-02-02,0.150820
2004-11-03,0.150820
2004-08-04,0.144790
2004-05-05,0.144790
2004-02-04,0.144790
2003-10-29,0.144790
2003-09-10,0.000000
2003-07-29,0.132150
2003-04-28,0.132150
2003-01-29,0.132150
2002-12-04,0.126400
2002-10-29,0.125850
2002-07-29,0.120370
2002-04-26,0.120370
2002-01-29,0.120370
2001-10-29,0.116860
2001-07-27,0.111550
2001-04-26,0.111550
2001-01-29,0.111550
2000-12-06,0.106240
2000-10-27,0.106240
2000-07-27,0.101170
2000-04-26,0.101170
2000-01-27,0.101170
1999-12-02,0.098650
1999-10-27,0.096370
1999-07-28,0.096370
1999-04-28,0.096370
1999-01-27,0.091540
1998-10-28,0.091540
1998-07-29,0.091750
1998-04-28,0.084810
1998-01-28,0.080950
1997-10-29,0.080950
1997-07-29,0.080950
1997-04-28,0.069400
1997-01-29,0.069400
1996-10-29,0.063590
1996-09-25,0.063590
1996-07-29,0.063320
1996-04-26,0.063320
1996-01-29,0.060570
1995-10-27,0.060570
1995-09-27,0.057830
1995-04-24,0.052310
1995-01-25,0.052310
1994-10-25,0.052310
1994-09-26,0.052310
1994-07-25,0.055080
1994-04-25,0.052310
1994-01-25,0.044060
1993-10-26,0.044060
1993-09-24,0.044060
1993-07-26,0.046800
1993-04-26,0.022020
1993-01-25,0.022020
1992-10-26,0.022020
1992-08-25,0.040610
1992-04-24,0.042680
1992-01-27,0.038140
1991-10-25,0.038140
1991-07-25,0.039920
1991-04-24,0.039920
1991-01-25,0.039920
1990-10-25,0.039920
1990-07-25,0.039920
1990-04-24,0.038550
