Date,Dividends
2014-01-03,0.120000
2013-10-04,0.120000
2013-07-05,0.120000
2013-04-05,0.120000
2013-01-04,0.120000
2012-10-04,0.120000
2012-07-06,0.120000
2012-04-05,0.120000
2012-01-06,0.120000
2011-10-06,0.120000
2011-06-24,0.120000
2011-03-18,0.120000
2010-12-23,0.120000
2010-09-24,0.120000
2010-06-18,0.120000
2010-01-27,0.240000
2009-07-24,0.240000
2009-01-23,0.240000
2008-07-25,0.240000
2008-01-25,0.240000
2007-07-20,0.240000
2007-01-19,0.240000
2006-07-21,0.230000
2006-01-20,0.220000
2005-07-22,0.210000
2005-01-21,0.200000
2004-07-23,0.190000
2004-01-23,0.186670
2003-07-25,0.186670
2003-01-24,0.180000
2002-07-12,0.173330
2002-01-17,0.168890
2001-08-03,0.160000
2001-01-19,0.080000
2000-07-21,0.075550
2000-01-21,0.035550
1999-07-23,0.033330
