Date,Dividends
2014-02-26,0.060000
2013-11-26,0.060000
2013-08-28,0.060000
2013-05-29,0.050000
2013-02-26,0.050000
2012-11-28,0.050000
2012-08-29,0.050000
2012-05-29,0.050000
2012-02-27,0.050000
2011-11-28,0.050000
2011-08-29,0.050000
2011-05-26,0.050000
2011-02-24,0.050000
2010-11-26,0.050000
2010-08-27,0.050000
2010-05-26,0.050000
2010-02-24,0.100000
2009-11-24,0.100000
2009-08-26,0.100000
2009-05-28,0.100000
2009-02-25,0.170000
2008-11-25,0.170000
2008-08-27,0.170000
2008-05-28,0.160000
2008-02-27,0.160000
2007-11-28,0.160000
2007-08-29,0.160000
2007-05-29,0.144000
2007-02-26,0.144000
2006-11-28,0.144000
2006-08-29,0.144000
2006-05-26,0.136000
2006-02-24,0.136000
2005-11-28,0.136000
2005-08-29,0.136000
2005-05-26,0.128000
2005-02-24,0.128000
2004-11-26,0.128000
2004-08-27,0.128000
2004-05-26,0.120000
2004-02-25,0.120000
2003-11-25,0.120000
2003-08-27,0.120000
2003-05-28,0.096000
2003-02-26,0.096000
2002-11-26,0.096000
2002-08-28,0.096000
2002-05-29,0.085340
2002-02-26,0.085340
2001-11-28,0.085340
2001-08-29,0.085340
2001-05-29,0.080000
2001-02-26,0.080000
2000-11-28,0.080000
2000-08-28,0.080000
2000-05-25,0.074660
