Date,Dividends
2014-01-30,0.350000
2013-10-30,0.350000
2013-07-30,0.350000
2012-12-18,0.660000
2012-10-31,0.330000
2012-07-30,0.320000
2012-05-04,0.320000
2012-01-30,0.320000
2011-10-28,0.320000
2011-07-28,0.310000
2011-04-28,0.310000
2011-01-28,0.310000
2010-10-28,0.310000
2010-07-29,0.310000
2010-04-29,0.310000
2010-01-28,0.310000
2009-10-29,0.310000
2009-07-30,0.310000
2009-04-29,0.310000
2009-01-28,0.310000
2008-10-29,0.310000
2008-07-30,0.310000
2008-04-29,0.300000
2008-01-30,0.300000
2007-10-30,0.300000
2007-07-30,0.300000
2007-04-27,0.210000
2007-01-30,0.210000
2006-10-30,0.210000
2006-07-28,0.160000
2006-04-27,0.160000
2006-01-30,0.160000
2005-10-28,0.160000
2005-07-28,0.130000
2005-04-28,0.130000
2005-01-28,0.130000
2004-10-28,0.130000
2004-07-29,0.120000
2004-04-29,0.120000
2004-01-29,0.120000
2003-10-30,0.120000
2003-07-30,0.110000
2003-04-29,0.110000
2003-01-30,0.110000
2002-10-30,0.110000
2002-07-30,0.110000
2002-04-29,0.110000
2002-01-30,0.110000
2001-10-30,0.110000
2001-07-30,0.090000
2001-04-27,0.090000
2001-01-30,0.090000
2000-10-30,0.090000
2000-07-28,0.060000
2000-04-27,0.060000
2000-01-28,0.060000
1999-10-28,0.060000
1999-07-29,0.040000
1999-04-29,0.040000
1999-01-28,0.040000
1998-10-29,0.040000
1998-07-30,0.026670
1998-04-29,0.026670
1998-01-29,0.026670
1997-10-23,0.026670
1997-07-29,0.017780
1997-04-29,0.017780
1997-01-28,0.017780
1996-10-24,0.017780
1996-07-30,0.011850
1996-04-23,0.011850
1996-01-30,0.011850
1995-10-25,0.011850
1995-07-31,0.007900
1995-04-21,0.007900
1995-01-26,0.007900
1994-10-24,0.007900
1994-07-27,0.005270
1994-04-25,0.005270
1994-01-26,0.005270
1993-10-22,0.005270
1993-07-20,0.003510
1993-04-23,0.003510
1993-01-22,0.003510
1992-10-19,0.003510
1992-07-21,0.002340
1992-04-16,0.002340
1992-01-29,0.002340
1991-10-21,0.002340
1991-07-22,0.001950
1991-04-22,0.001950
1991-01-25,0.001950
1990-10-22,0.001950
1990-07-23,0.001560
1990-04-23,0.001560
