Date,Dividends
2014-01-29,0.163000
2013-10-30,0.163000
2013-07-30,0.163000
2013-04-29,0.163000
2013-01-30,0.160000
2012-10-31,0.160000
2012-07-30,0.160000
2012-04-27,0.160000
2012-01-30,0.158000
2011-10-28,0.158000
2011-07-28,0.158000
2011-04-27,0.158000
2011-01-28,0.155000
2010-10-28,0.155000
2010-07-28,0.155000
2010-04-28,0.155000
2010-01-28,0.153000
2009-10-28,0.153000
2009-07-29,0.153000
2009-04-29,0.153000
2009-01-28,0.150000
2008-10-29,0.150000
2008-07-30,0.150000
2008-04-29,0.150000
2008-01-30,0.133000
2007-10-30,0.133000
2007-07-30,0.133000
2007-04-27,0.133000
2007-01-30,0.119050
2006-10-30,0.119050
2006-07-28,0.119050
2006-04-27,0.119050
2006-01-30,0.104760
2005-10-28,0.104760
2005-07-28,0.104760
2005-04-27,0.104760
2005-01-28,0.092060
2004-10-28,0.092060
2004-07-28,0.092060
2004-04-28,0.092060
2004-01-28,0.082540
2003-10-29,0.082540
2003-07-30,0.082540
2003-04-29,0.082540
2003-01-29,0.076190
2002-10-30,0.076190
2002-07-30,0.076190
2002-04-29,0.076190
2002-01-30,0.071960
2001-10-30,0.071960
2001-07-30,0.071960
2001-04-27,0.071960
2001-01-30,0.067720
2000-10-30,0.067720
2000-07-28,0.063490
2000-05-01,0.063490
2000-01-28,0.059260
1999-10-28,0.059260
1999-07-28,0.055020
1999-04-28,0.055020
1999-01-28,0.048680
1998-10-28,0.048680
1998-07-29,0.044440
1998-04-29,0.044440
1998-01-28,0.040210
1997-10-29,0.040210
1997-07-30,0.035980
1997-04-29,0.035270
1997-01-29,0.031040
1996-10-30,0.031040
1996-07-30,0.028220
1996-04-29,0.028220
1996-01-30,0.025400
1995-10-30,0.025400
1995-07-28,0.022580
1995-04-25,0.022580
1995-01-26,0.019750
1994-10-26,0.019750
1994-07-26,0.016930
1994-04-25,0.016930
1994-01-26,0.012700
1990-10-26,0.025400
1990-07-26,0.025400
1990-04-25,0.025400
