Date,Dividends
2014-01-30,0.150000
2013-10-31,0.140000
2013-08-01,0.140000
2013-05-02,0.127270
2013-01-31,0.109090
2012-11-01,0.109090
2012-08-02,0.100000
2012-05-03,0.100000
2012-02-02,0.100000
2011-11-03,0.090910
2011-08-04,0.090910
2011-03-31,0.090910
2010-12-22,0.090910
2010-09-30,0.090910
2010-07-01,0.090910
2010-03-31,0.090910
2009-12-11,0.090910
2009-09-11,0.090910
2009-06-11,0.209090
2009-03-12,0.209090
2008-12-11,0.209090
2008-09-11,0.209090
2008-06-12,0.209090
2008-03-13,0.200000
2007-12-13,0.200000
2007-09-13,0.200000
2007-06-13,0.200000
2007-03-13,0.200000
2006-12-13,0.190910
2006-09-13,0.190910
2006-06-13,0.190910
2006-03-13,0.181820
2005-12-13,0.181820
2005-09-13,0.181820
2005-06-13,0.172730
2005-03-11,0.172730
2004-12-13,0.163640
2004-09-13,0.163640
2004-06-14,0.163640
2004-03-11,0.163640
2003-12-11,0.163640
2003-09-11,0.154550
2003-06-11,0.138530
2003-03-12,0.129870
2002-12-11,0.129870
2002-09-11,0.129870
2002-06-12,0.129870
2002-03-13,0.118060
2001-12-12,0.118060
2001-09-12,0.150000
2001-06-13,0.107330
2001-03-13,0.100170
2000-12-13,0.100170
2000-09-13,0.100170
2000-06-13,0.100170
2000-03-13,0.091580
1999-12-13,0.091060
1999-09-13,0.091060
1999-06-11,0.083250
1999-03-11,0.082790
1998-12-11,0.082790
1998-09-11,0.076870
1998-06-11,0.076870
1998-03-12,0.074900
1997-12-11,0.074900
1997-09-11,0.074900
1997-06-11,0.070950
1997-03-12,0.070950
1996-12-11,0.067020
1996-09-11,0.061110
1996-07-11,0.000000
1996-06-12,0.060930
1996-03-13,0.060930
1995-12-13,0.060930
1995-09-13,0.055390
1995-06-13,0.052140
1995-03-09,0.052140
1994-12-09,0.048870
1994-09-09,0.048870
1994-06-09,0.045610
1994-03-09,0.045610
1993-12-09,0.045610
1993-09-09,0.042360
1993-06-09,0.042360
1993-03-26,0.000000
1993-03-09,0.042360
