Date,Dividends
2012-12-26,0.100000
2012-08-08,0.100000
2012-01-06,0.100000
2011-07-11,0.090000
2011-01-31,0.090000
2010-07-07,0.110000
2010-01-06,0.100000
2009-07-06,0.200000
2009-01-07,0.300000
2008-07-02,0.290000
2008-01-04,0.270000
2007-07-05,0.250000
2007-01-04,0.230000
2006-07-06,0.210000
2006-01-05,0.200000
2005-07-06,0.200000
2005-01-06,0.180000
2004-07-07,0.170000
2004-01-07,0.150000
2003-07-02,0.140000
2003-01-06,0.120000
2002-07-03,0.120000
2002-01-07,0.120000
2001-07-05,0.120000
2001-01-05,0.110000
2000-08-02,0.110000
2000-07-06,0.110000
2000-01-12,0.100000
