Date,Dividends
2014-02-14,0.090000
2014-01-17,0.090000
2013-12-18,0.090000
2013-11-18,0.090000
2013-10-17,0.087000
2013-09-18,0.088000
2013-08-19,0.087000
2013-07-17,0.087000
2013-06-19,0.088000
2013-05-16,0.087000
2013-04-17,0.087000
2013-03-20,0.087000
2013-02-14,0.085000
2013-01-17,0.083000
2012-12-19,0.083000
2012-11-16,0.083000
2012-10-17,0.083000
2012-09-18,0.080000
2012-08-16,0.080000
2012-07-18,0.080000
2012-06-19,0.080000
2012-05-18,0.080000
2012-04-18,0.075000
2012-03-20,0.075000
2012-02-15,0.075000
2012-01-18,0.075000
2011-12-21,0.070000
2011-11-17,0.070000
2011-10-19,0.070000
2011-09-21,0.070000
2011-08-18,0.070000
2011-07-20,0.060000
2011-06-22,0.050000
