Date,Dividends
2014-02-04,0.050000
2013-10-29,0.050000
2013-07-30,0.050000
2013-04-30,0.050000
2013-01-30,0.050000
2012-10-31,0.050000
2012-07-31,0.050000
2012-05-01,0.050000
2012-01-31,0.050000
2011-11-01,0.050000
2011-08-02,0.050000
2011-05-03,0.050000
2011-02-01,0.050000
2010-11-02,0.050000
2010-07-27,0.050000
2010-04-27,0.050000
2010-02-02,0.050000
2009-10-27,0.050000
2009-07-07,0.048000
2009-04-07,0.152380
2009-01-07,0.152380
2008-10-07,0.152380
2008-07-07,0.152380
2008-04-07,0.152380
2008-01-07,0.152380
2007-10-04,0.152380
2007-07-05,0.142860
2007-04-04,0.142860
2006-12-28,0.142860
2006-09-28,0.142860
2006-06-29,0.133330
2006-03-30,0.133330
2005-12-29,0.133330
2005-09-29,0.133330
2005-06-29,0.104760
2005-03-30,0.104760
2004-12-30,0.104760
2004-09-29,9.628570
2004-06-29,0.086580
2004-03-30,0.086580
2003-12-30,0.086580
2003-09-29,0.086580
2003-06-27,0.070840
2003-03-28,0.070840
2002-12-30,0.070840
2002-09-27,0.070840
2002-06-27,0.059030
2002-03-27,0.059030
2001-12-28,0.059030
2001-09-27,0.059030
2001-06-29,0.050090
2001-03-29,0.050090
2001-01-03,0.050090
2000-01-12,0.040900
1999-06-29,0.038930
