Date,Dividends
2014-03-13,0.550000
2013-11-27,0.550000
2013-08-01,0.550000
2013-05-24,0.450000
2013-02-15,0.450000
2012-11-14,0.450000
2012-08-29,0.450000
2012-06-13,0.450000
2012-03-13,0.350000
2011-11-10,0.350000
2011-07-27,0.350000
2011-05-03,0.250000
2011-03-11,0.250000
2010-11-26,0.250000
2010-08-18,0.250000
2010-05-03,0.100000
2010-03-11,0.100000
2009-12-01,0.100000
2009-09-09,0.200000
2009-06-02,0.200000
2009-02-25,0.200000
2008-11-24,0.400000
2008-09-10,0.400000
2008-05-23,0.400000
2008-02-26,0.400000
2007-11-26,0.400000
2007-08-30,0.400000
2007-05-31,0.280000
2007-03-07,0.280000
2006-11-29,0.280000
2006-09-06,0.280000
2006-05-30,0.250000
2006-03-13,0.250000
2005-11-29,0.250000
2005-09-07,0.250000
2005-05-27,0.150000
2005-03-07,0.150000
2004-11-29,0.150000
2004-08-30,0.150000
2004-05-27,0.070000
2004-03-01,0.070000
2003-12-01,0.070000
2003-08-29,0.070000
2003-05-29,0.050000
2003-03-03,0.050000
2002-11-26,0.050000
2002-08-29,0.050000
2000-11-28,0.100000
2000-08-30,0.100000
2000-02-24,0.100000
1999-11-29,0.100000
1999-08-27,0.100000
1999-05-28,0.140000
1999-03-15,0.140000
1998-11-27,0.140000
1998-09-09,0.140000
1998-05-28,0.140000
1998-03-27,0.140000
1997-12-26,0.140000
1997-09-11,0.140000
1997-05-28,0.140000
1997-03-26,0.140000
1996-12-05,0.350000
1996-07-03,0.235000
1995-12-06,0.265000
1994-12-05,0.180000
1993-12-03,0.034400
1992-12-03,0.034400
1991-12-03,0.038000
