Date,Dividends
2013-12-20,0.322000
2013-09-20,0.174000
2013-06-21,0.396000
2013-03-15,0.021000
2012-12-21,0.639000
2012-09-21,0.250000
2012-06-15,0.241000
2012-03-16,0.064000
2011-12-16,0.233000
2011-09-16,0.168000
2011-06-17,0.173000
2011-03-18,0.014000
2010-12-17,0.256000
2010-09-17,0.103000
2010-03-19,0.006000
2009-12-18,0.162000
2009-09-18,0.070000
2009-06-19,0.098000
2009-03-20,0.031000
2008-12-19,0.163000
2008-09-19,0.112000
2008-06-20,0.138000
2008-03-20,0.072000
2007-12-21,0.251000
2007-09-21,0.013000
2007-06-15,0.118000
2007-03-19,0.030000
2006-12-15,0.386000
