Date,Dividends
2014-02-14,0.100000
2013-11-19,0.100000
2013-08-19,0.100000
2013-05-20,0.070000
2013-02-11,0.070000
2012-11-19,0.050000
2012-08-13,0.050000
2012-05-09,0.040000
2012-02-13,0.040000
2011-11-16,0.030000
2011-08-17,0.030000
2011-05-25,0.010000
2011-02-23,0.010000
2010-11-23,0.010000
2010-08-25,0.010000
2010-05-20,0.010000
2010-02-23,0.010000
2009-11-18,0.010000
2009-08-13,0.010000
2009-05-19,0.030000
2009-02-06,0.030000
2008-11-19,0.050000
2008-08-21,0.050000
2008-05-15,0.100000
2008-02-21,0.180000
2007-11-15,0.180000
2007-08-16,0.180000
2007-05-17,0.180000
2007-02-14,0.180000
2006-11-15,0.180000
2006-08-15,0.150000
2006-05-11,0.150000
2006-02-15,0.150000
2005-11-18,0.140000
2005-08-15,0.140000
2005-05-18,0.140000
2005-02-16,0.140000
2004-11-19,0.140000
2004-08-13,0.100000
2004-05-18,0.100000
2004-01-15,0.066670
2003-10-31,0.066670
2003-08-18,0.066670
2003-05-12,0.033330
2003-02-07,0.033330
2002-11-13,0.033330
2002-08-05,0.033330
