Date,Dividends
2014-03-07,0.470000
2013-12-06,0.470000
2013-09-06,0.470000
2013-06-07,0.470000
2013-03-22,0.250000
2013-03-07,0.470000
2012-12-11,0.470000
2012-09-11,0.470000
2012-06-05,0.470000
2012-03-12,0.470000
2011-12-02,0.460000
2011-09-01,0.460000
2011-06-03,0.460000
2011-03-08,0.460000
2010-12-03,0.460000
2010-09-02,0.460000
2010-06-04,0.460000
2010-03-05,0.460000
2009-12-04,0.460000
2009-09-03,0.460000
2009-06-09,0.460000
2009-03-06,0.460000
2008-12-05,0.460000
2008-09-05,0.460000
2008-06-10,0.460000
2008-03-07,0.460000
2007-12-06,0.460000
2007-09-12,0.450000
2007-06-06,0.440000
2007-03-09,0.440000
2006-12-06,0.440000
2006-09-08,0.440000
2006-06-09,0.430000
2006-03-10,0.420000
2005-12-01,0.410000
2005-09-09,0.391670
2005-06-10,0.383330
2005-03-10,0.375000
2004-12-06,0.591670
2004-09-09,0.291670
2004-06-09,0.291670
2004-03-10,0.291670
2003-12-03,0.566670
2003-09-10,0.227270
2003-06-10,0.227270
2003-03-12,0.227270
2002-12-03,0.416670
2002-09-11,0.204540
2002-06-10,0.204540
2002-03-13,0.204540
2001-12-03,0.356060
2001-09-10,0.189390
2001-06-13,0.189390
2001-03-14,0.189390
2000-12-13,0.310610
