Date,Dividends
2014-02-27,0.373000
2013-12-20,0.272000
2013-09-20,0.238000
2013-06-21,0.224000
2013-03-15,0.159000
2012-12-21,0.367000
2012-09-21,0.200000
2012-06-15,0.143000
2012-03-16,0.113000
2011-12-27,0.049000
2011-12-16,0.161000
2011-09-16,0.104000
2011-06-17,0.121000
2011-03-18,0.077000
2010-12-17,0.108000
2010-09-17,0.112000
2010-06-25,0.089000
2010-06-18,0.089000
2010-03-19,0.051000
2009-12-18,0.073000
2009-09-18,0.041000
2009-06-19,0.044000
2009-03-20,0.049000
2008-12-19,0.043000
2008-09-19,0.028000
2008-06-20,0.034000
2008-03-20,0.033000
2007-12-21,0.053000
2007-09-21,0.026000
2007-06-15,0.037000
2007-03-16,0.027000
2006-12-15,0.054000
2006-09-15,0.023000
2006-06-16,0.026000
2006-03-17,0.029000
2005-12-16,0.101000
2005-06-17,0.035000
2004-12-17,0.379000
2003-12-24,0.014000
