Date,Dividends
2014-01-30,0.100000
2013-10-24,0.100000
2013-07-25,0.100000
2013-04-25,0.100000
2013-01-24,0.100000
2012-11-29,0.160000
2012-11-01,0.100000
2012-07-31,0.090000
2012-04-26,0.090000
2012-03-01,0.080000
2011-11-23,0.075000
2011-08-25,0.065000
2011-05-19,0.065000
2011-02-17,0.042860
2010-11-18,0.042860
2010-08-19,0.039560
2010-05-20,0.039560
2010-02-18,0.039560
2009-11-18,0.032970
2009-08-20,0.032970
2009-05-21,0.032970
2009-02-19,0.032970
2008-11-20,0.032970
2008-08-21,0.032970
2008-05-22,0.032970
2008-02-21,0.032970
2007-11-21,0.026370
2007-08-16,0.026370
2007-05-17,0.026370
2007-02-22,0.026370
2006-11-16,0.026370
2006-08-17,0.026370
