Date,Dividends
2014-01-15,0.050000
2013-10-16,0.040000
2013-07-17,0.030000
2013-04-17,0.030000
2013-01-16,0.030000
2012-10-17,0.030000
2012-07-18,0.030000
2012-05-11,0.150000
2012-04-18,0.030000
2012-01-18,0.030000
2011-10-19,0.030000
2011-07-21,0.030000
2011-04-15,0.030000
2011-01-19,0.030000
2010-10-15,0.030000
2010-07-15,0.030000
2010-03-29,0.030000
2009-12-29,0.030000
2009-09-11,0.030000
2009-05-27,0.030000
2009-02-11,0.070000
2008-11-12,0.070000
2008-08-13,0.070000
2008-05-14,0.070000
2008-02-13,0.070000
2007-11-14,0.070000
2007-08-15,0.070000
2007-05-15,0.070000
2007-02-12,0.070000
2006-11-14,0.060000
2006-08-15,0.060000
2006-05-15,0.060000
2006-02-10,0.060000
2005-11-14,0.060000
2005-08-15,0.050000
2005-07-01,22.077999
2005-05-13,0.050000
2005-02-10,0.050000
2004-11-12,0.050000
2004-08-13,0.050000
2004-05-12,0.033000
2004-02-11,0.033000
2003-11-12,0.033000
2003-08-13,0.033000
2003-05-14,0.033000
2003-02-12,0.033000
2002-11-13,0.033000
2002-08-14,0.033000
2002-05-15,0.033000
2002-02-12,0.033000
2001-11-14,0.033000
2001-08-15,0.033000
2001-05-15,0.033000
2001-02-12,0.033000
2000-11-14,0.033000
2000-08-15,0.033000
2000-05-15,0.033000
2000-02-11,0.033000
1999-11-12,0.033000
1999-08-11,0.033000
1999-05-12,0.032000
1999-02-10,0.032000
1998-11-12,0.032000
1998-08-12,0.032000
1998-05-13,0.033330
1998-02-11,0.033330
1997-11-12,0.033330
1997-08-13,0.033330
1997-05-14,0.033330
1997-02-12,0.033330
1996-11-13,0.033330
1996-08-14,0.033330
1996-05-15,0.033330
1996-02-13,0.033330
1996-01-12,0.033330
1992-03-06,0.016000
1991-11-20,0.053330
1991-08-20,0.053330
1990-11-13,0.033330
1990-08-14,0.033330
