Date,Dividends
2008-09-26,0.045000
2008-06-25,0.090000
2008-03-27,0.090000
2007-12-27,0.110000
2007-09-26,0.110000
2007-06-27,0.110000
2007-03-28,0.100000
2006-12-28,0.100000
2006-12-27,0.000000
2006-09-27,0.100000
2006-06-28,0.095000
2006-03-29,0.085000
2005-12-28,0.085000
2005-09-28,0.085000
2005-06-28,0.085000
2005-03-29,0.077500
2004-12-29,0.077500
2004-09-28,0.077500
2004-06-28,0.077500
2004-03-29,0.070000
2003-12-29,0.070000
2003-09-26,0.070000
2003-06-26,0.070000
2003-03-27,0.062500
2002-12-27,0.062500
2002-09-26,0.062500
2002-06-26,0.062500
2002-03-26,0.055000
2001-12-27,0.055000
2001-09-26,0.055000
2001-06-27,0.055000
2001-03-28,0.050000
2000-12-27,0.050000
2000-09-27,0.050000
2000-06-28,0.050000
2000-03-29,0.045000
1999-12-29,0.045000
1999-09-28,0.045000
1999-06-28,0.090000
1999-03-29,0.030000
1998-12-29,0.030000
1998-09-28,0.030000
1998-06-26,0.030000
1998-03-27,0.035000
1997-12-29,0.030000
1997-07-02,0.060000
1997-03-26,0.000000
1996-12-27,0.009860
1996-06-26,0.009860
1996-03-27,0.000000
1995-12-27,0.050000
1995-09-27,0.050000
1995-06-28,0.050000
1995-03-27,0.000000
1994-12-23,0.022410
1994-09-26,0.022410
1994-06-24,0.022410
1994-04-25,0.116500
