Date,Dividends
2013-12-19,0.220000
2013-06-13,0.200000
2012-12-19,0.480000
2012-06-14,0.150000
2011-12-23,0.150000
2011-06-16,0.120000
2010-12-21,0.100000
2010-06-21,0.100000
2009-12-31,0.090000
2009-06-16,0.080000
2009-01-02,0.080000
2008-06-13,0.080000
2008-01-02,0.070000
2007-06-06,0.070000
2006-12-29,0.060000
2006-06-06,0.060000
2005-12-29,0.055000
2005-06-06,0.055000
2004-12-31,0.050000
2004-06-04,0.050000
2004-01-02,0.045000
2003-06-05,0.035000
2002-12-31,0.030000
2002-05-23,0.030000
2002-01-02,0.025000
2001-06-08,0.025000
2001-01-04,0.020000
2000-06-01,0.020000
2000-01-05,0.016660
1999-06-14,0.008330
1998-12-31,0.006660
1998-06-12,0.006660
1997-12-29,0.005830
1997-06-10,0.005830
1996-12-27,0.005000
1996-06-10,0.005000
1995-12-27,0.004170
1995-06-02,0.004170
1993-12-17,0.002500
1993-06-15,0.002500
1992-12-21,0.001540
1992-06-15,0.001540
1991-12-12,0.001540
1991-06-12,0.001040
1990-06-12,0.001040
