Date,Dividends
2014-01-15,0.200000
2013-10-24,0.200000
2013-07-17,0.195000
2013-04-17,0.195000
2012-12-18,0.195000
2012-10-25,0.195000
2012-07-18,0.190000
2012-04-17,0.190000
2012-01-18,0.170000
2011-10-20,0.170000
2011-07-15,0.155000
2011-04-18,0.155000
2011-01-14,0.155000
2010-10-21,0.155000
2010-07-15,0.150000
2010-04-15,0.150000
2010-01-14,0.150000
2009-10-16,0.150000
2009-07-16,0.150000
2009-04-17,0.150000
2009-01-14,0.150000
2008-10-22,0.150000
2008-07-17,0.150000
2008-04-17,0.150000
2008-01-16,0.145000
2007-10-19,0.145000
2007-07-18,0.145000
2007-04-17,0.145000
2007-01-17,0.155000
2006-10-19,0.145000
2006-07-19,0.145000
2006-04-19,0.145000
2006-01-18,0.145000
2005-10-20,0.145000
2005-07-20,0.145000
2005-04-20,0.145000
2005-01-19,0.145000
2004-10-20,0.135000
2004-07-21,0.135000
2004-04-22,0.135000
2004-01-22,0.135000
2003-10-22,0.135000
2003-07-23,0.135000
2003-04-24,0.135000
2003-01-23,0.135000
2002-10-23,0.135000
2002-07-24,0.135000
2002-04-25,0.135000
2002-01-24,0.135000
2001-10-24,0.135000
2001-07-25,0.135000
2001-04-26,0.135000
2001-01-25,0.135000
2000-10-19,0.135000
2000-07-24,0.135000
2000-04-24,0.135000
2000-01-25,0.135000
1999-10-21,0.125000
1999-07-23,0.125000
1999-04-23,0.125000
1999-01-22,0.125000
1998-10-22,0.115000
1998-07-23,0.115000
1998-04-24,0.115000
1998-01-23,0.115000
1997-10-23,0.105000
1997-07-24,0.105000
1997-04-24,0.105000
1997-01-23,0.105000
1996-10-24,0.095000
1996-07-25,0.095000
1996-04-25,0.095000
1996-01-25,0.095000
1995-10-19,0.085000
1995-07-25,0.085000
1995-04-24,0.085000
1995-01-24,0.085000
1994-10-18,0.075000
1994-07-21,0.075000
1994-04-25,0.075000
1994-01-25,0.072000
1993-10-19,0.064000
1993-07-21,0.064000
1993-04-23,0.064000
1993-01-21,0.064000
1992-10-20,0.056000
1992-07-21,0.056000
1992-04-21,0.056000
1992-01-22,0.056000
1991-10-17,0.048000
1991-07-18,0.048000
1991-04-18,0.048000
1991-01-23,0.048000
1990-10-16,0.042660
1990-07-18,0.039110
1990-04-18,0.039110
