Date,Dividends
2014-02-12,0.080000
2013-11-07,0.080000
2013-08-15,0.080000
2013-05-09,0.080000
2013-02-12,0.160000
2012-11-07,0.080000
2012-08-09,0.080000
2012-05-10,0.070000
2012-02-09,0.070000
2011-11-09,0.060000
2011-09-08,0.060000
2011-05-18,0.060000
2011-02-09,0.050000
2010-12-02,0.050000
2010-08-13,0.152910
2010-05-06,0.152910
2010-02-08,0.152910
2009-11-05,0.152910
2009-09-04,0.152910
2009-05-13,0.152910
2009-02-11,0.152910
2008-11-07,0.152910
2008-09-02,0.152910
2008-05-13,0.152910
2008-02-12,0.152910
2007-11-28,0.139000
2007-09-04,0.139000
2007-05-30,0.139000
2007-03-09,0.139000
2006-11-22,0.139000
2006-08-30,0.125100
2006-05-31,0.111200
2006-03-08,0.097300
2005-11-30,0.097300
2005-09-07,0.083400
2005-06-14,0.083400
2005-03-08,0.069500
2004-11-05,0.069500
