Date,Dividends
2013-12-09,0.100000
2013-09-09,0.100000
2013-06-10,0.100000
2013-03-11,0.100000
2012-12-10,0.100000
2012-09-10,0.150000
2012-06-11,0.150000
2012-03-12,0.150000
2011-12-08,0.150000
2011-09-08,0.150000
2011-06-09,0.150000
2011-03-10,0.150000
2010-12-09,0.150000
2010-09-09,0.150000
2010-06-10,0.150000
2010-03-11,0.150000
2009-12-10,0.150000
2009-09-10,0.150000
2009-06-11,0.150000
2009-03-11,0.150000
2008-12-11,0.150000
2008-09-11,0.150000
2008-06-12,0.150000
2008-03-13,0.150000
2007-12-11,0.150000
2007-09-12,0.150000
2007-06-13,0.100000
2007-03-14,0.100000
2006-12-13,0.100000
2006-09-13,0.100000
2006-06-13,0.090000
2006-03-13,0.090000
2005-12-13,0.090000
2005-09-13,0.090000
2005-06-13,0.045000
2005-03-16,0.045000
2004-12-13,0.045000
2004-09-13,0.045000
2004-06-14,0.040000
2004-03-17,0.040000
2003-12-17,0.040000
2003-09-11,0.040000
2003-06-11,0.035000
2003-03-13,0.035000
2002-12-11,0.035000
2002-09-10,0.035000
2002-06-10,0.033000
2002-03-12,0.033000
2001-12-11,0.033000
2001-09-07,0.033000
2001-06-08,0.030000
2001-03-13,0.030000
2000-12-11,0.030000
2000-09-07,0.030000
2000-06-08,0.028000
2000-03-13,0.028000
1999-12-09,0.028000
1999-09-08,0.028000
1999-06-08,0.025000
1999-03-15,0.025000
1998-12-09,0.025000
1998-09-09,0.025000
1998-06-08,0.022500
1998-03-13,0.022500
1997-12-10,0.022500
1997-09-10,0.022500
1997-06-06,0.020000
1997-03-11,0.020000
1996-12-10,0.020000
1996-09-11,0.020000
1996-06-06,0.018340
1996-03-11,0.018340
1995-12-08,0.018340
1995-09-08,0.018340
1995-06-09,0.016660
1995-03-09,0.016660
1994-12-02,0.016660
1994-09-01,0.016660
1994-06-01,0.015000
1994-03-09,0.015000
1993-12-02,0.015000
1993-09-01,0.015000
1993-06-07,0.013330
1993-03-12,0.013330
1992-11-27,0.013330
1992-09-01,0.013330
1992-06-02,0.011670
1991-11-27,0.011670
1991-08-28,0.011670
