Date,Dividends
2012-11-21,1.000000
2012-08-23,1.000000
2012-05-24,1.000000
2012-02-27,1.000000
2011-11-23,1.000000
2011-08-25,1.000000
2011-05-25,1.000000
2011-03-01,1.000000
2010-11-23,1.000000
2010-08-25,0.750000
2010-05-25,0.750000
2010-02-23,0.750000
2009-11-20,0.750000
2009-08-25,0.500000
2009-05-22,0.500000
2009-02-24,0.500000
2008-11-24,0.500000
2008-08-25,0.375000
2008-05-22,0.375000
2008-02-26,0.375000
2007-12-28,2.000000
2007-11-21,0.375000
2007-08-23,0.313000
2007-05-23,0.313000
2007-02-26,0.313000
2006-11-21,0.313000
2006-08-23,0.250000
2006-05-24,0.250000
2006-02-24,0.250000
2005-11-23,0.250000
2005-08-25,0.125000
2005-05-25,0.125000
2005-02-24,0.125000
2004-11-23,0.210000
2004-07-01,0.065000
2004-04-02,0.065000
2004-01-06,0.065000
2003-10-03,0.065000
2003-07-07,0.065000
2003-04-04,0.065000
2003-01-06,0.065000
2002-10-04,0.065000
2002-07-05,0.065000
2002-04-05,0.065000
2002-01-04,0.065000
2001-10-03,0.065000
2001-07-05,0.065000
2001-04-05,0.065000
2001-01-04,0.065000
2000-10-12,0.065000
2000-07-07,0.060000
2000-04-06,0.060000
2000-01-06,0.060000
1999-10-06,0.060000
1999-07-08,0.050000
1999-04-08,0.050000
1999-01-07,0.050000
1998-10-07,0.050000
1998-07-09,0.042000
1998-04-28,0.042000
1998-01-02,0.042000
1997-10-09,0.043330
1997-07-09,0.041330
1997-04-02,0.041330
