Date,Dividends
2014-02-06,0.430000
2013-11-07,0.430000
2013-08-05,0.380000
2013-05-13,0.380000
2012-12-12,0.380000
2012-11-09,0.320000
2012-08-10,0.320000
2012-04-30,0.250000
2012-02-13,0.250000
2011-11-01,0.180000
2011-08-03,0.180000
2011-04-28,0.180000
2009-02-04,0.030000
2008-11-05,0.120000
2008-07-30,0.120000
2008-04-30,0.120000
2008-01-30,0.100000
2007-10-31,0.100000
2007-08-01,0.100000
2007-05-02,0.100000
2007-01-31,0.100000
2006-11-01,0.100000
2006-08-16,0.080000
2006-05-03,0.080000
2006-02-01,0.080000
2005-11-02,0.080000
2005-08-03,0.080000
2005-05-04,0.080000
2005-02-02,0.060000
2004-11-03,0.060000
2004-08-04,0.060000
2004-05-05,0.060000
2004-02-11,0.060000
2003-11-05,0.040000
2003-08-06,0.040000
2003-05-07,0.030000
2003-02-12,0.030000
