Date,Dividends
2010-12-28,0.150000
2010-09-13,0.220000
2010-06-11,0.220000
2010-03-11,0.220000
2009-12-11,0.220000
2009-09-11,0.220000
2009-06-11,0.220000
2009-03-11,0.220000
2008-12-11,0.220000
2008-09-11,0.220000
2008-06-11,0.220000
2008-03-12,0.220000
2007-12-12,0.220000
2007-09-12,0.220000
2007-06-13,0.220000
2007-03-13,0.220000
2006-12-13,0.220000
2006-09-13,0.220000
2006-06-13,0.220000
2006-03-13,0.220000
2005-12-13,0.200000
2005-09-13,0.200000
2005-06-13,0.200000
2005-03-11,0.190000
2004-12-13,0.190000
2004-09-13,0.190000
2004-06-14,0.190000
2004-03-11,0.190000
2003-12-11,0.190000
2003-09-11,0.190000
2003-06-11,0.190000
2003-03-12,0.190000
2002-12-11,0.170000
2002-09-11,0.170000
2002-06-12,0.170000
2002-03-13,0.150000
2001-12-12,0.140000
2001-09-12,0.280000
2001-06-13,0.140000
2001-03-13,0.140000
2000-12-13,0.115000
2000-09-13,0.115000
2000-06-13,0.115000
2000-03-13,0.105000
1999-12-13,0.105000
1999-09-13,0.105000
1999-06-11,0.105000
1999-03-11,0.105000
1998-12-11,0.090000
1998-09-11,0.090000
1998-06-11,0.090000
1998-03-11,0.090000
1997-12-11,0.090000
1997-09-11,0.090000
1997-06-11,0.082500
1997-03-12,0.082500
1996-12-11,0.082500
1996-09-11,0.075000
1996-06-12,0.075000
1996-03-13,0.075000
1995-12-13,0.075000
1995-09-13,0.050000
1995-06-13,0.050000
1995-03-09,0.050000
1994-12-09,0.047500
1994-09-09,0.042500
1994-06-13,0.042500
1994-03-09,0.042500
1993-12-09,0.042500
1993-09-09,0.042500
1993-06-09,0.042500
1993-03-09,0.042500
1992-12-09,0.037500
1992-09-09,0.037500
1992-06-08,0.037500
1992-03-09,0.035000
