Date,Dividends
2014-02-18,0.118000
2014-01-21,0.118000
2013-12-17,0.118000
2013-11-19,0.117000
2013-10-22,0.117000
2013-09-17,0.118000
2013-08-20,0.117000
2013-07-23,0.117000
2013-06-18,0.117000
2013-05-21,0.117000
2013-04-23,0.117000
2013-03-19,0.117000
2013-02-19,0.117000
2013-01-22,0.117000
2012-12-18,0.118000
2012-11-19,0.118000
2012-10-23,0.118000
2012-09-18,0.118000
2012-08-21,0.115000
2012-07-17,0.105000
2012-06-19,0.100000
2012-05-16,0.100000
2012-04-16,0.100000
2012-03-16,0.100000
2012-02-15,0.100000
2012-01-17,0.100000
2011-12-13,0.100000
2011-11-16,0.090000
2011-10-17,0.080000
2011-09-16,0.080000
2011-08-17,0.080000
2011-07-14,0.070000
2011-06-14,0.050000
