Date,Dividends
2009-09-28,0.030000
2009-06-26,0.030000
2009-03-27,0.030000
2008-12-29,0.060000
2008-09-26,0.060000
2008-06-26,0.060000
2008-03-27,0.060000
2007-12-27,0.060000
2007-09-26,0.060000
2007-06-27,0.060000
2007-03-28,0.060000
2006-12-27,0.054550
2006-09-27,0.054550
2006-06-28,0.054550
2006-03-29,0.054550
2005-12-28,0.049590
2005-09-28,0.049590
2005-06-28,0.049590
2005-03-29,0.049590
2004-12-29,0.022730
2004-09-28,0.045450
2004-06-28,0.041320
2004-03-29,0.041320
2003-12-29,0.037190
2003-09-26,0.037190
2003-06-26,0.033050
2003-03-27,0.033050
2002-12-27,0.024790
2002-10-11,0.024790
