Date,Dividends
2014-03-06,0.210000
2013-12-05,0.210000
2013-09-05,0.200000
2013-06-06,0.200000
2013-03-07,0.200000
2012-12-06,0.200000
2012-09-06,0.190000
2012-06-07,0.190000
2012-03-08,0.190000
2011-12-08,0.180000
2011-09-08,0.180000
2011-06-09,0.180000
2011-03-10,0.180000
2010-12-09,0.180000
2010-09-09,0.170000
2010-06-10,0.170000
2010-03-11,0.170000
2009-12-10,0.170000
2009-09-10,0.170000
2009-06-11,0.170000
2009-03-12,0.170000
2008-12-11,0.170000
2008-09-11,0.170000
2008-06-12,0.170000
2008-03-13,0.170000
2007-12-12,0.160000
2007-09-12,0.160000
2007-06-13,0.160000
2007-03-14,0.150000
2006-12-13,0.150000
2006-09-13,0.150000
2006-06-14,0.140000
2006-03-15,0.133330
2005-12-14,0.123810
2005-09-14,0.114290
2005-06-15,0.104760
2005-03-11,0.104760
2004-12-15,0.104760
2004-09-15,0.095240
2004-06-10,0.095240
2004-03-26,0.000000
2004-03-12,0.076190
2003-12-10,0.076190
2003-09-18,0.038100
2003-06-11,0.071430
2003-03-12,0.066670
2002-12-11,0.066670
2002-09-11,0.061900
2002-06-12,0.061900
2002-03-13,0.057140
2001-12-12,0.057140
2001-09-12,0.110000
2001-06-13,0.052380
2001-03-14,0.052380
2000-12-13,0.047620
2000-09-12,0.047620
2000-06-14,0.047620
2000-03-15,0.042860
1999-12-16,0.042860
1999-09-14,0.038100
1999-06-14,0.038100
1999-03-17,0.038100
1998-12-17,0.035710
1998-09-11,0.035710
1998-06-11,0.028570
1998-03-18,0.028570
1997-12-15,0.028570
1997-09-12,0.028570
1997-06-12,0.028570
1997-03-12,0.028570
1996-12-13,0.023810
1996-09-16,0.100000
1996-06-12,0.023810
1996-03-13,0.023810
1995-12-19,0.200000
1995-09-13,0.180000
1995-06-14,0.180000
1995-03-09,0.017260
1994-12-12,0.017260
1994-10-03,0.000000
1994-09-15,0.017320
1994-06-14,0.017320
1994-03-21,0.014070
1993-12-02,0.014070
1993-09-22,0.130000
1993-06-17,0.110000
